#	date	

15:47:46.156803		MAIN	INFO	SCENARIO	FILENAME	scenario_settings5.txt
15:47:46.805922		TRACK	STATE	CURSOR	Y	0.003978020069883591
15:47:46.826247		TRACK	STATE	CURSOR	X	-0.005965213291589509
15:47:46.826365		TRACK	STATE	CURSOR	Y	0.0029715546898356412
15:47:46.846375		TRACK	STATE	CURSOR	X	-0.006055832092834862
15:47:46.846496		TRACK	STATE	CURSOR	Y	0.001996048639499197
15:47:46.867004		TRACK	STATE	CURSOR	X	-0.006151496037953748
15:47:46.867128		TRACK	STATE	CURSOR	Y	0.00100416902748484
15:47:46.887297		TRACK	STATE	CURSOR	X	-0.00625737285333125
15:47:46.887403		TRACK	STATE	CURSOR	Y	-5.4729798805171204e-05
15:47:46.907711		TRACK	STATE	CURSOR	X	-0.006363377752191812
15:47:46.907831		TRACK	STATE	CURSOR	Y	-0.0010796102094019697
15:47:46.928122		TRACK	STATE	CURSOR	X	-0.006480108638870071
15:47:46.928263		TRACK	STATE	CURSOR	Y	-0.0021727544801399615
15:47:46.948471		TRACK	STATE	CURSOR	X	-0.006596444718324092
15:47:46.948582		TRACK	STATE	CURSOR	Y	-0.0032298581760378045
15:47:46.968748		TRACK	STATE	CURSOR	X	-0.006717814070930916
15:47:46.968853		TRACK	STATE	CURSOR	Y	-0.004302391990759678
15:47:46.989007		TRACK	STATE	CURSOR	X	-0.006844211094848331
15:47:46.989117		TRACK	STATE	CURSOR	Y	-0.005390163429836579
15:47:47.009288		TRACK	STATE	CURSOR	X	-0.006982331676408937
15:47:47.009393		TRACK	STATE	CURSOR	Y	-0.006548509663758591
15:47:47.029761		TRACK	STATE	CURSOR	X	-0.00711901335802731
15:47:47.029877		TRACK	STATE	CURSOR	Y	-0.007666906403246028
15:47:47.049839		TRACK	STATE	CURSOR	X	-0.007260698953553792
15:47:47.049939		TRACK	STATE	CURSOR	Y	-0.008799939043123685
15:47:47.070094		TRACK	STATE	CURSOR	X	-0.007414843353284166
15:47:47.070205		TRACK	STATE	CURSOR	Y	-0.010005154178704116
15:47:47.090457		TRACK	STATE	CURSOR	X	-0.007566754575516209
15:47:47.090570		TRACK	STATE	CURSOR	Y	-0.011167556534860575
