#	date	

18:12:51.490416		MAIN	INFO	SCENARIO	FILENAME	sample_scenario_complete.txt
18:12:51.490563		MAIN	INFO	SCREENSIZE	WIDTH	1920
18:12:51.490614		MAIN	INFO	SCREENSIZE	HEIGHT	1080
18:12:51.499184		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 563]
18:12:51.499337		MAIN	INFO	COMMUNICATIONS	AOI_Y	[580, 1080]
18:12:51.500012		MAIN	INFO	SYSMON	AOI_X	[0, 668]
18:12:51.500152		MAIN	INFO	SYSMON	AOI_Y	[40, 540]
18:12:51.500531		MAIN	INFO	TRACK	AOI_X	[563, 1585]
18:12:51.500668		MAIN	INFO	TRACK	AOI_Y	[40, 540]
18:12:51.500949		MAIN	INFO	RESMAN	AOI_X	[563, 1585]
18:12:51.501079		MAIN	INFO	RESMAN	AOI_Y	[580, 1080]
18:12:51.501365		MAIN	INFO	PUMPSTATUS	AOI_X	[1576, 1919]
18:12:51.501502		MAIN	INFO	PUMPSTATUS	AOI_Y	[580, 1080]
18:12:51.501796		MAIN	INFO	SCHEDULING	AOI_X	[1576, 1919]
18:12:51.501933		MAIN	INFO	SCHEDULING	AOI_Y	[40, 540]
18:12:51.523366		MAIN	SCENARIO	COMMUNICATIONS	CALLSIGNREGEX	[A-Z][A-Z]\d\d
18:12:51.523585		MAIN	SCENARIO	COMMUNICATIONS	OTHERCALLSIGNNUMBER	5
18:12:51.523667		MAIN	SCENARIO	COMMUNICATIONS	VOICEGENDER	male
18:12:51.523725		MAIN	SCENARIO	COMMUNICATIONS	VOICEIDIOM	english
18:12:51.527236		COMMUN	STATE	OWNCALLSIGN		TL16
18:12:51.551282		COMMUN	STATE	OTHERCALLSIGN		['ZD92', 'XA35', 'FU40', 'CB78', 'WK50']
18:12:51.552589		MAIN	STATE	COMMUNICATIONS	START
18:12:51.569034		MAIN	STATE	SYSMON	START
18:12:51.569480		TRACK	STATE	TARGET	X	0.5
18:12:51.569532		TRACK	STATE	TARGET	Y	0.5
18:12:51.569555		TRACK	STATE	TARGET	RADIUS	0.1
18:12:51.569576		TRACK	STATE		MODE	MANUAL
18:12:51.569593		MAIN	STATE	TRACK	START
18:12:51.590643		TRACK	STATE	CURSOR	X	-0.0055251087259057625
18:12:51.590928		TRACK	STATE	CURSOR	Y	0.11365877026351329
18:12:51.611141		TRACK	STATE	CURSOR	X	-0.005468933082961462
18:12:51.611463		TRACK	STATE	CURSOR	Y	0.11321344549921651
18:12:51.631764		TRACK	STATE	CURSOR	X	-0.005420135586415316
18:12:51.631881		TRACK	STATE	CURSOR	Y	0.11276840495240177
18:12:51.652309		TRACK	STATE	CURSOR	X	-0.005373869067975194
18:12:51.652422		TRACK	STATE	CURSOR	Y	0.11227924842128617
18:12:51.672569		TRACK	STATE	CURSOR	X	-0.005334569418223532
18:12:51.672682		TRACK	STATE	CURSOR	Y	0.11179266300682932
18:12:51.692947		TRACK	STATE	CURSOR	X	-0.005298337166157213
18:12:51.693050		TRACK	STATE	CURSOR	Y	0.11126010136946708
18:12:51.713249		TRACK	STATE	CURSOR	X	-0.00526865058597802
18:12:51.713349		TRACK	STATE	CURSOR	Y	0.11073239127819191
18:12:51.733562		TRACK	STATE	CURSOR	X	-0.005243692712697201
18:12:51.733671		TRACK	STATE	CURSOR	Y	0.11018478112336529
18:12:51.753830		TRACK	STATE	CURSOR	X	-0.005223488117378577
18:12:51.753937		TRACK	STATE	CURSOR	Y	0.10961738058985628
18:12:51.774564		TRACK	STATE	CURSOR	X	-0.005207414842783364
18:12:51.774672		TRACK	STATE	CURSOR	Y	0.10900043412977918
18:12:51.794640		TRACK	STATE	CURSOR	X	-0.005197027274453185
18:12:51.794751		TRACK	STATE	CURSOR	Y	0.10839281945629699
18:12:51.814873		TRACK	STATE	CURSOR	X	-0.00519131074319167
18:12:51.814979		TRACK	STATE	CURSOR	Y	0.10773390767069209
18:12:51.835083		TRACK	STATE	CURSOR	X	-0.005190831217325285
18:12:51.835186		TRACK	STATE	CURSOR	Y	0.10708657978567206
18:12:51.855307		TRACK	STATE	CURSOR	X	-0.005195215397316645
18:12:51.855404		TRACK	STATE	CURSOR	Y	0.10642006934998945
18:12:51.875424		TRACK	STATE	CURSOR	X	-0.00520448197124454
18:12:51.875545		TRACK	STATE	CURSOR	Y	0.10573450489597273
18:12:51.895741		TRACK	STATE	CURSOR	X	-0.00521864864090299
18:12:51.895843		TRACK	STATE	CURSOR	Y	0.10503001797135808
18:12:51.915927		TRACK	STATE	CURSOR	X	-0.005238815642054186
18:12:51.916031		TRACK	STATE	CURSOR	Y	0.10427008864528947
18:12:51.936164		TRACK	STATE	CURSOR	X	-0.005263078655180174
18:12:51.936268		TRACK	STATE	CURSOR	Y	0.10352723451485359
18:12:51.956379		TRACK	STATE	CURSOR	X	-0.005292289604017962
18:12:51.956483		TRACK	STATE	CURSOR	Y	0.10276587752563271
18:12:51.976764		TRACK	STATE	CURSOR	X	-0.00532646213872288
18:12:51.976866		TRACK	STATE	CURSOR	Y	0.10198616120661909
18:12:51.996811		TRACK	STATE	CURSOR	X	-0.0053656088957168375
18:12:51.996919		TRACK	STATE	CURSOR	Y	0.10118823198584126
18:12:52.017001		TRACK	STATE	CURSOR	X	-0.005412079195282711
18:12:52.017110		TRACK	STATE	CURSOR	Y	0.10033096807270643
18:12:52.037168		TRACK	STATE	CURSOR	X	-0.0054614583079191
18:12:52.037272		TRACK	STATE	CURSOR	Y	0.09949617227890384
18:12:52.057355		TRACK	STATE	CURSOR	X	-0.005515843872110311
18:12:52.057457		TRACK	STATE	CURSOR	Y	0.0986436278385507
18:12:52.077590		TRACK	STATE	CURSOR	X	-0.0055752443695606295
18:12:52.077708		TRACK	STATE	CURSOR	Y	0.09777349266734041
18:12:52.098009		TRACK	STATE	CURSOR	X	-0.005643020345292534
18:12:52.098109		TRACK	STATE	CURSOR	Y	0.09684109457329713
18:12:52.118272		TRACK	STATE	CURSOR	X	-0.00571272358995741
18:12:52.118388		TRACK	STATE	CURSOR	Y	0.09593540375645891
18:12:52.138676		TRACK	STATE	CURSOR	X	-0.00578746121393095
18:12:52.138801		TRACK	STATE	CURSOR	Y	0.09501262085855554
18:12:52.159201		TRACK	STATE	CURSOR	X	-0.005871358612533591
18:12:52.159301		TRACK	STATE	CURSOR	Y	0.09402548839161805
18:12:52.179980		TRACK	STATE	CURSOR	X	-0.005960814774435737
18:12:52.180098		TRACK	STATE	CURSOR	Y	0.09301989699561024
18:12:52.200236		TRACK	STATE	CURSOR	X	-0.006051181334012741
18:12:52.200360		TRACK	STATE	CURSOR	Y	0.09204521429810437
18:12:52.220582		TRACK	STATE	CURSOR	X	-0.0061465930163094595
18:12:52.220703		TRACK	STATE	CURSOR	Y	0.0910541491142703
18:12:52.241160		TRACK	STATE	CURSOR	X	-0.006252204991216999
18:12:52.241292		TRACK	STATE	CURSOR	Y	0.08999609569245941
18:12:52.261485		TRACK	STATE	CURSOR	X	-0.006357957750499521
18:12:52.261598		TRACK	STATE	CURSOR	Y	0.08897201101619111
18:12:52.281798		TRACK	STATE	CURSOR	X	-0.006468752044477342
18:12:52.281905		TRACK	STATE	CURSOR	Y	0.08793209989389394
18:12:52.301998		TRACK	STATE	CURSOR	X	-0.00659050833213969
18:12:52.302107		TRACK	STATE	CURSOR	Y	0.08682336506393483
18:12:52.322455		TRACK	STATE	CURSOR	X	-0.0067116261451727515
18:12:52.322610		TRACK	STATE	CURSOR	Y	0.08575159820339423
18:12:52.342816		TRACK	STATE	CURSOR	X	-0.006837771935216323
18:12:52.342910		TRACK	STATE	CURSOR	Y	0.08466458403679904
18:12:52.363070		TRACK	STATE	CURSOR	X	-0.006975629109299987
18:12:52.363182		TRACK	STATE	CURSOR	Y	0.08350702238924218
18:12:52.383704		TRACK	STATE	CURSOR	X	-0.007112060352630817
18:12:52.383819		TRACK	STATE	CURSOR	Y	0.08238936270553311
18:12:52.403983		TRACK	STATE	CURSOR	X	-0.007253495980534226
