#	date	

22:53:34.972960		MAIN	INFO	SCENARIO	FILENAME	scenario_demo.txt
22:53:39.735002		TRACK	STATE	CURSOR	Y	0.006841094573297159
22:53:39.755172		TRACK	STATE	CURSOR	X	-0.005716340865009374
22:53:39.755172		TRACK	STATE	CURSOR	Y	0.0058896691547290145
22:53:39.775227		TRACK	STATE	CURSOR	X	-0.00579133032841229
22:53:39.775227		TRACK	STATE	CURSOR	Y	0.004966036066155359
22:53:39.795328		TRACK	STATE	CURSOR	X	-0.005871358612533591
22:53:39.796327		TRACK	STATE	CURSOR	Y	0.004025488391618058
22:53:39.816328		TRACK	STATE	CURSOR	X	-0.005960814774435737
22:53:39.816328		TRACK	STATE	CURSOR	Y	0.003019896995610248
22:53:39.837061		TRACK	STATE	CURSOR	X	-0.006055832092834862
22:53:39.837061		TRACK	STATE	CURSOR	Y	0.001996048639499183
22:53:39.857442		TRACK	STATE	CURSOR	X	-0.006151496037953748
22:53:39.857442		TRACK	STATE	CURSOR	Y	0.00100416902748484
22:53:39.877952		TRACK	STATE	CURSOR	X	-0.00625737285333125
22:53:39.879033		TRACK	STATE	CURSOR	Y	-5.4729798805171204e-05
22:53:39.898755		TRACK	STATE	CURSOR	X	-0.006363377752191812
22:53:39.898755		TRACK	STATE	CURSOR	Y	-0.0010796102094019697
22:53:39.918724		TRACK	STATE	CURSOR	X	-0.00647442404406684
22:53:39.918724		TRACK	STATE	CURSOR	Y	-0.0021203077558260217
22:53:39.939348		TRACK	STATE	CURSOR	X	-0.006596444718324092
22:53:39.939348		TRACK	STATE	CURSOR	Y	-0.0032298581760378045
22:53:39.959841		TRACK	STATE	CURSOR	X	-0.006717814070930916
22:53:39.959841		TRACK	STATE	CURSOR	Y	-0.004302391990759692
22:53:39.979264		TRACK	STATE	CURSOR	X	-0.006844211094848331
22:53:39.980359		TRACK	STATE	CURSOR	Y	-0.005390163429836579
22:53:39.999413		TRACK	STATE	CURSOR	X	-0.006975629109299987
22:53:40.000411		TRACK	STATE	CURSOR	Y	-0.006492977610757809
22:53:40.020112		TRACK	STATE	CURSOR	X	-0.00711901335802731
22:53:40.020112		TRACK	STATE	CURSOR	Y	-0.007666906403246028
22:53:40.040763		TRACK	STATE	CURSOR	X	-0.00726791441162683
22:53:40.040763		TRACK	STATE	CURSOR	Y	-0.008856971254340297
22:53:40.060662		TRACK	STATE	CURSOR	X	-0.007414843353284166
22:53:40.061663		TRACK	STATE	CURSOR	Y	-0.010005154178704116
22:53:40.080759		TRACK	STATE	CURSOR	X	-0.007566754575516209
22:53:40.081759		TRACK	STATE	CURSOR	Y	-0.011167556534860588
22:53:40.101184		TRACK	STATE	CURSOR	X	-0.007723635868367912
