#	date	

17:39:32.416185		MAIN	INFO	SCENARIO	FILENAME	sample_scenario_complete.txt
17:39:32.416315		MAIN	INFO	SCREENSIZE	WIDTH	1920
17:39:32.416355		MAIN	INFO	SCREENSIZE	HEIGHT	1080
17:39:32.422461		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 563]
17:39:32.422525		MAIN	INFO	COMMUNICATIONS	AOI_Y	[580, 1080]
17:39:32.425464		MAIN	INFO	SYSMON	AOI_X	[0, 668]
17:39:32.425518		MAIN	INFO	SYSMON	AOI_Y	[40, 540]
17:39:32.425616		MAIN	INFO	TRACK	AOI_X	[563, 1585]
17:39:32.425649		MAIN	INFO	TRACK	AOI_Y	[40, 540]
17:39:32.425716		MAIN	INFO	RESMAN	AOI_X	[563, 1585]
17:39:32.425746		MAIN	INFO	RESMAN	AOI_Y	[580, 1080]
17:39:32.425807		MAIN	INFO	PUMPSTATUS	AOI_X	[1576, 1919]
17:39:32.425836		MAIN	INFO	PUMPSTATUS	AOI_Y	[580, 1080]
17:39:32.425896		MAIN	INFO	SCHEDULING	AOI_X	[1576, 1919]
17:39:32.425925		MAIN	INFO	SCHEDULING	AOI_Y	[40, 540]
17:39:32.447704		MAIN	SCENARIO	COMMUNICATIONS	CALLSIGNREGEX	[A-Z][A-Z]\d\d
17:39:32.447866		MAIN	SCENARIO	COMMUNICATIONS	OTHERCALLSIGNNUMBER	5
17:39:32.447931		MAIN	SCENARIO	COMMUNICATIONS	VOICEGENDER	male
17:39:32.447984		MAIN	SCENARIO	COMMUNICATIONS	VOICEIDIOM	english
17:39:32.450616		COMMUN	STATE	OWNCALLSIGN		OF25
17:39:32.472289		COMMUN	STATE	OTHERCALLSIGN		['IH60', 'LD81', 'QR94', 'ZP37', 'UX28']
17:39:32.474250		MAIN	STATE	COMMUNICATIONS	START
17:39:32.492232		MAIN	STATE	SYSMON	START
17:39:32.492570		TRACK	STATE	TARGET	X	0.5
17:39:32.492622		TRACK	STATE	TARGET	Y	0.5
17:39:32.492644		TRACK	STATE	TARGET	RADIUS	0.1
17:39:32.492664		TRACK	STATE		MODE	MANUAL
17:39:32.492681		MAIN	STATE	TRACK	START
17:39:32.515923		TRACK	STATE	CURSOR	X	-0.005519541640908158
17:39:32.516252		TRACK	STATE	CURSOR	Y	0.11361733073252023
17:39:32.536069		TRACK	STATE	CURSOR	X	-0.005463846342058191
17:39:32.536318		TRACK	STATE	CURSOR	Y	0.11316985837565015
17:39:32.556505		TRACK	STATE	CURSOR	X	-0.0054155093623492285
17:39:32.556634		TRACK	STATE	CURSOR	Y	0.11272278191914864
17:39:32.576916		TRACK	STATE	CURSOR	X	-0.005371793464251262
17:39:32.577028		TRACK	STATE	CURSOR	Y	0.11225539843887423
17:39:32.597226		TRACK	STATE	CURSOR	X	-0.005330896155917725
17:39:32.597330		TRACK	STATE	CURSOR	Y	0.11174289646172385
17:39:32.617505		TRACK	STATE	CURSOR	X	-0.005296740920406699
17:39:32.617605		TRACK	STATE	CURSOR	Y	0.11123419014874374
17:39:32.637735		TRACK	STATE	CURSOR	X	-0.005267290177452931
17:39:32.637833		TRACK	STATE	CURSOR	Y	0.11070548249797763
17:39:32.658053		TRACK	STATE	CURSOR	X	-0.005241457958423873
17:39:32.658161		TRACK	STATE	CURSOR	Y	0.11012892979998469
17:39:32.678357		TRACK	STATE	CURSOR	X	-0.005221730005872292
17:39:32.678475		TRACK	STATE	CURSOR	Y	0.10955955638236183
17:39:32.698850		TRACK	STATE	CURSOR	X	-0.005206781264319542
17:39:32.698950		TRACK	STATE	CURSOR	Y	0.10897051686627719
17:39:32.718920		TRACK	STATE	CURSOR	X	-0.005196634306453692
17:39:32.719030		TRACK	STATE	CURSOR	Y	0.10836192750983815
17:39:32.739224		TRACK	STATE	CURSOR	X	-0.005191171553557601
17:39:32.739334		TRACK	STATE	CURSOR	Y	0.10770199881171026
17:39:32.759504		TRACK	STATE	CURSOR	X	-0.00519093475398331
17:39:32.759602		TRACK	STATE	CURSOR	Y	0.10705370879331289
17:39:32.779798		TRACK	STATE	CURSOR	X	-0.0051955626180044305
17:39:32.779908		TRACK	STATE	CURSOR	Y	0.10638624257891653
17:39:32.800085		TRACK	STATE	CURSOR	X	-0.005205677850397735
17:39:32.800197		TRACK	STATE	CURSOR	Y	0.10566490551814782
17:39:32.820315		TRACK	STATE	CURSOR	X	-0.005220335465083381
17:39:32.820421		TRACK	STATE	CURSOR	Y	0.10495853369703316
17:39:32.840594		TRACK	STATE	CURSOR	X	-0.005239911501457288
17:39:32.840700		TRACK	STATE	CURSOR	Y	0.10423338756417072
17:39:32.860810		TRACK	STATE	CURSOR	X	-0.005264421571586149
17:39:32.860918		TRACK	STATE	CURSOR	Y	0.10348960492700952
17:39:32.881028		TRACK	STATE	CURSOR	X	-0.005295483369661708
17:39:32.881135		TRACK	STATE	CURSOR	Y	0.10268872967015134
17:39:32.901366		TRACK	STATE	CURSOR	X	-0.005330152774726695
17:39:32.901465		TRACK	STATE	CURSOR	Y	0.1019071854240753
17:39:32.921441		TRACK	STATE	CURSOR	X	-0.005369797609775055
17:39:32.921550		TRACK	STATE	CURSOR	Y	0.10110744307755117
17:39:32.941794		TRACK	STATE	CURSOR	X	-0.005414429390396112
17:39:32.941939		TRACK	STATE	CURSOR	Y	0.10028965221940374
17:39:32.962563		TRACK	STATE	CURSOR	X	-0.005466671425960736
17:39:32.962656		TRACK	STATE	CURSOR	Y	0.09941171394019727
17:39:32.982927		TRACK	STATE	CURSOR	X	-0.005521558118881109
17:39:32.983036		TRACK	STATE	CURSOR	Y	0.09855740327461258
17:39:33.003335		TRACK	STATE	CURSOR	X	-0.005584587455995503
17:39:33.003437		TRACK	STATE	CURSOR	Y	0.0976414650874256
17:39:33.023815		TRACK	STATE	CURSOR	X	-0.005649764265690971
17:39:33.023940		TRACK	STATE	CURSOR	Y	0.09675129939562895
17:39:33.044327		TRACK	STATE	CURSOR	X	-0.005723613175983411
17:39:33.044432		TRACK	STATE	CURSOR	Y	0.09579807184285337
17:39:33.064552		TRACK	STATE	CURSOR	X	-0.005799106349643174
17:39:33.064661		TRACK	STATE	CURSOR	Y	0.09487273964161574
17:39:33.084761		TRACK	STATE	CURSOR	X	-0.005879638706520908
17:39:33.084866		TRACK	STATE	CURSOR	Y	0.09393050991220875
17:39:33.105164		TRACK	STATE	CURSOR	X	-0.005969624419504077
17:39:33.105275		TRACK	STATE	CURSOR	Y	0.09292317100645049
17:39:33.125232		TRACK	STATE	CURSOR	X	-0.00606049546473759
17:39:33.125342		TRACK	STATE	CURSOR	Y	0.09194684204645508
17:39:33.145462		TRACK	STATE	CURSOR	X	-0.006156411672339944
17:39:33.145567		TRACK	STATE	CURSOR	Y	0.0909541484558633
17:39:33.165628		TRACK	STATE	CURSOR	X	-0.00625737285333125
17:39:33.165733		TRACK	STATE	CURSOR	Y	0.08994527020119482
17:39:33.185816		TRACK	STATE	CURSOR	X	-0.006363377752191812
17:39:33.185922		TRACK	STATE	CURSOR	Y	0.08892038979059802
17:39:33.206032		TRACK	STATE	CURSOR	X	-0.006480108638870071
17:39:33.206136		TRACK	STATE	CURSOR	Y	0.08782724551986003
17:39:33.226243		TRACK	STATE	CURSOR	X	-0.006596444718324092
17:39:33.226347		TRACK	STATE	CURSOR	Y	0.08677014182396219
17:39:33.246434		TRACK	STATE	CURSOR	X	-0.006717814070930916
17:39:33.246529		TRACK	STATE	CURSOR	Y	0.08569760800924031
17:39:33.266635		TRACK	STATE	CURSOR	X	-0.006844211094848331
17:39:33.266735		TRACK	STATE	CURSOR	Y	0.08460983657016341
17:39:33.286844		TRACK	STATE	CURSOR	X	-0.006975629109299987
17:39:33.286948		TRACK	STATE	CURSOR	Y	0.08350702238924218
17:39:33.307329		TRACK	STATE	CURSOR	X	-0.00711901335802731
17:39:33.307438		TRACK	STATE	CURSOR	Y	0.08233309359675396
17:39:33.327427		TRACK	STATE	CURSOR	X	-0.007260698953553792
17:39:33.327540		TRACK	STATE	CURSOR	Y	0.0812000609568763
17:39:33.347656		TRACK	STATE	CURSOR	X	-0.007407378480175382
17:39:33.347763		TRACK	STATE	CURSOR	Y	0.08005259438666602
17:39:33.367845		TRACK	STATE	CURSOR	X	-0.007559040869324268
17:39:33.367939		TRACK	STATE	CURSOR	Y	0.0788908981145481
17:39:33.387950		TRACK	STATE	CURSOR	X	-0.007715673965425625
17:39:33.388059		TRACK	STATE	CURSOR	Y	0.07771517859444442
17:39:33.408131		TRACK	STATE	CURSOR	X	-0.007885473933745649
17:39:33.408238		TRACK	STATE	CURSOR	Y	0.0764658089053922
17:39:33.428327		TRACK	STATE	CURSOR	X	-0.008052254384516427
17:39:33.428429		TRACK	STATE	CURSOR	Y	0.07526199636881843
17:39:33.448590		TRACK	STATE	CURSOR	X	-0.008223961743778244
17:39:33.448684		TRACK	STATE	CURSOR	Y	0.07404480366710016
17:39:33.468863		TRACK	STATE	CURSOR	X	-0.008400579444303261
