#	date	

11:23:02.247992		MAIN	INFO	SCENARIO	FILENAME	scenario_settings5.txt
11:23:02.250832		MAIN	INFO	SCREENSIZE	WIDTH	1920
11:23:02.252060		MAIN	INFO	SCREENSIZE	HEIGHT	1080
11:23:02.315189		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 563]
11:23:02.315189		MAIN	INFO	COMMUNICATIONS	AOI_Y	[580, 1080]
11:23:02.323746		MAIN	INFO	PUMPSTATUS	AOI_X	[1576, 1919]
11:23:02.324245		MAIN	INFO	PUMPSTATUS	AOI_Y	[580, 1080]
11:23:02.324828		MAIN	INFO	RESMAN	AOI_X	[563, 1585]
11:23:02.324828		MAIN	INFO	RESMAN	AOI_Y	[580, 1080]
11:23:02.325800		MAIN	INFO	SCHEDULING	AOI_X	[1576, 1919]
11:23:02.325800		MAIN	INFO	SCHEDULING	AOI_Y	[40, 540]
11:23:02.326915		MAIN	INFO	SYSMON	AOI_X	[0, 668]
11:23:02.326915		MAIN	INFO	SYSMON	AOI_Y	[40, 540]
11:23:02.328064		MAIN	INFO	TRACK	AOI_X	[563, 1585]
11:23:02.328558		MAIN	INFO	TRACK	AOI_Y	[40, 540]
11:23:02.375463		MAIN	SCENARIO	COMMUNICATIONS	CALLSIGNREGEX	[A-Z][A-Z]\d\d
11:23:02.376771		MAIN	SCENARIO	COMMUNICATIONS	OTHERCALLSIGNNUMBER	5
11:23:02.377272		MAIN	SCENARIO	COMMUNICATIONS	VOICEGENDER	male
11:23:02.377565		MAIN	SCENARIO	COMMUNICATIONS	VOICEIDIOM	english
11:23:02.386023		COMMUN	STATE	OWNCALLSIGN		AV67
11:23:02.416942		COMMUN	STATE	OTHERCALLSIGN		['NF43', 'XR20', 'YD91', 'OK58', 'LG31']
11:23:02.427176		MAIN	STATE	COMMUNICATIONS	START
11:23:02.431171		TRACK	STATE	TARGET	X	0.5
11:23:02.431171		TRACK	STATE	TARGET	Y	0.5
11:23:02.431171		TRACK	STATE	TARGET	RADIUS	0.1
11:23:02.432539		TRACK	STATE		MODE	MANUAL
11:23:02.432691		MAIN	STATE	TRACK	START
11:23:02.432939		MAIN	SCENARIO	TRACK	AUTOMATICSOLVER	True
