#	date	

17:52:09.556771		MAIN	INFO	SCENARIO	FILENAME	sample_scenario_complete.txt
17:52:09.557197		MAIN	INFO	SCREENSIZE	WIDTH	1600
17:52:09.557493		MAIN	INFO	SCREENSIZE	HEIGHT	900
17:52:09.574420		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 469]
17:52:09.574721		MAIN	INFO	COMMUNICATIONS	AOI_Y	[483, 900]
17:52:09.575707		MAIN	INFO	SCHEDULING	AOI_X	[1313, 1600]
17:52:09.575981		MAIN	INFO	SCHEDULING	AOI_Y	[33, 450]
17:52:09.576513		MAIN	INFO	RESMAN	AOI_X	[469, 1321]
17:52:09.576753		MAIN	INFO	RESMAN	AOI_Y	[483, 900]
17:52:09.577238		MAIN	INFO	SYSMON	AOI_X	[0, 557]
17:52:09.577499		MAIN	INFO	SYSMON	AOI_Y	[33, 450]
17:52:09.578050		MAIN	INFO	TRACK	AOI_X	[469, 1321]
17:52:09.578284		MAIN	INFO	TRACK	AOI_Y	[33, 450]
17:52:09.578844		MAIN	INFO	PUMPSTATUS	AOI_X	[1313, 1600]
17:52:09.579082		MAIN	INFO	PUMPSTATUS	AOI_Y	[483, 900]
17:52:09.659160		MAIN	SCENARIO	COMMUNICATIONS	CALLSIGNREGEX	[A-Z][A-Z]\d\d
17:52:09.659294		MAIN	SCENARIO	COMMUNICATIONS	OTHERCALLSIGNNUMBER	5
17:52:09.659372		MAIN	SCENARIO	COMMUNICATIONS	VOICEGENDER	male
17:52:09.659425		MAIN	SCENARIO	COMMUNICATIONS	VOICEIDIOM	english
17:52:09.661563		COMMUN	STATE	OWNCALLSIGN		VA74
17:52:09.692324		COMMUN	STATE	OTHERCALLSIGN		['HP03', 'RE96', 'LI52', 'ZU18', 'DO03']
17:52:09.694218		MAIN	STATE	COMMUNICATIONS	START
17:52:09.712925		MAIN	STATE	SYSMON	START
17:52:09.713339		TRACK	STATE	TARGET	X	0.5
17:52:09.713474		TRACK	STATE	TARGET	Y	0.5
17:52:09.713552		TRACK	STATE	TARGET	RADIUS	0.1
17:52:09.713600		TRACK	STATE		MODE	MANUAL
17:52:09.713643		MAIN	STATE	TRACK	START
17:52:09.734020		TRACK	STATE	CURSOR	X	-0.0055251087259057625
17:52:09.734126		TRACK	STATE	CURSOR	Y	0.11365877026351329
17:52:09.754094		TRACK	STATE	CURSOR	X	-0.005471493663948233
17:52:09.754181		TRACK	STATE	CURSOR	Y	0.11323516252851762
17:52:09.774012		TRACK	STATE	CURSOR	X	-0.0054224660187912055
17:52:09.774098		TRACK	STATE	CURSOR	Y	0.11279114028693811
17:52:09.794074		TRACK	STATE	CURSOR	X	-0.005378055132373272
17:52:09.794159		TRACK	STATE	CURSOR	Y	0.11232679675924297
17:52:09.814137		TRACK	STATE	CURSOR	X	-0.005338289435310052
17:52:09.814219		TRACK	STATE	CURSOR	Y	0.11184222839910386
17:52:09.834182		TRACK	STATE	CURSOR	X	-0.005303196439486263
17:52:09.834265		TRACK	STATE	CURSOR	Y	0.11133753487643346
17:52:09.854250		TRACK	STATE	CURSOR	X	-0.00527280273079093
17:52:09.854319		TRACK	STATE	CURSOR	Y	0.11081281905994611
17:52:09.874320		TRACK	STATE	CURSOR	X	-0.0052471339619933515
17:52:09.874402		TRACK	STATE	CURSOR	Y	0.1102681869992454
17:52:09.894411		TRACK	STATE	CURSOR	X	-0.005226214845765048
17:52:09.894513		TRACK	STATE	CURSOR	Y	0.10970374790643961
17:52:09.914790		TRACK	STATE	CURSOR	X	-0.005210069147845664
17:52:09.914882		TRACK	STATE	CURSOR	Y	0.10911961413728917
17:52:09.934459		TRACK	STATE	CURSOR	X	-0.005198719680355707
17:52:09.934543		TRACK	STATE	CURSOR	Y	0.10851590117189062
17:52:09.954502		TRACK	STATE	CURSOR	X	-0.005192188295256407
17:52:09.954585		TRACK	STATE	CURSOR	Y	0.10789272759489689
17:52:09.974597		TRACK	STATE	CURSOR	X	-0.005190495877958418
17:52:09.974680		TRACK	STATE	CURSOR	Y	0.10725021507527736
17:52:09.994661		TRACK	STATE	CURSOR	X	-0.005193662341079717
17:52:09.994743		TRACK	STATE	CURSOR	Y	0.10658848834562444
17:52:10.014715		TRACK	STATE	CURSOR	X	-0.0052017066183541
17:52:10.014826		TRACK	STATE	CURSOR	Y	0.10590767518100512
17:52:10.035324		TRACK	STATE	CURSOR	X	-0.005215422482913475
17:52:10.035448		TRACK	STATE	CURSOR	Y	0.10517242273888326
17:52:10.055309		TRACK	STATE	CURSOR	X	-0.005233521307990328
17:52:10.055382		TRACK	STATE	CURSOR	Y	0.1044528945643813
17:52:10.075765		TRACK	STATE	CURSOR	X	-0.0052565495883368325
17:52:10.076035		TRACK	STATE	CURSOR	Y	0.10371468823303187
17:52:10.096143		TRACK	STATE	CURSOR	X	-0.0052845222340569264
