#	date	

17:14:17.147430		MAIN	INFO	SCENARIO	FILENAME	sample_scenario_complete.txt
17:14:17.851237		TRACK	STATE	CURSOR	X	-0.005969624419504077
17:14:17.851334		TRACK	STATE	CURSOR	Y	0.09292317100645049
17:14:17.871303		TRACK	STATE	CURSOR	X	-0.00606049546473759
17:14:17.871421		TRACK	STATE	CURSOR	Y	0.09194684204645508
17:14:17.891514		TRACK	STATE	CURSOR	X	-0.006156411672339944
17:14:17.891614		TRACK	STATE	CURSOR	Y	0.0909541484558633
17:14:17.911809		TRACK	STATE	CURSOR	X	-0.00625737285333125
17:14:17.911914		TRACK	STATE	CURSOR	Y	0.08994527020119482
17:14:17.932126		TRACK	STATE	CURSOR	X	-0.006368810357589304
17:14:17.932229		TRACK	STATE	CURSOR	Y	0.08886872902164956
17:14:17.952332		TRACK	STATE	CURSOR	X	-0.006480108638870071
17:14:17.952434		TRACK	STATE	CURSOR	Y	0.08782724551986003
17:14:17.972473		TRACK	STATE	CURSOR	X	-0.006596444718324092
17:14:17.972609		TRACK	STATE	CURSOR	Y	0.08677014182396219
17:14:17.992718		TRACK	STATE	CURSOR	X	-0.006717814070930916
17:14:17.992809		TRACK	STATE	CURSOR	Y	0.08569760800924031
17:14:18.012846		TRACK	STATE	CURSOR	X	-0.006844211094848331
17:14:18.012952		TRACK	STATE	CURSOR	Y	0.08460983657016341
17:14:18.033033		TRACK	STATE	CURSOR	X	-0.006982331676408937
17:14:18.033135		TRACK	STATE	CURSOR	Y	0.0834514903362414
17:14:18.053424		TRACK	STATE	CURSOR	X	-0.00711901335802731
17:14:18.053518		TRACK	STATE	CURSOR	Y	0.08233309359675396
17:14:18.073483		TRACK	STATE	CURSOR	X	-0.007260698953553792
17:14:18.073583		TRACK	STATE	CURSOR	Y	0.0812000609568763
17:14:18.093652		TRACK	STATE	CURSOR	X	-0.007407378480175382
17:14:18.093750		TRACK	STATE	CURSOR	Y	0.08005259438666602
17:14:18.113795		TRACK	STATE	CURSOR	X	-0.007559040869324268
17:14:18.113894		TRACK	STATE	CURSOR	Y	0.0788908981145481
17:14:18.133973		TRACK	STATE	CURSOR	X	-0.007723635868367912
17:14:18.134064		TRACK	STATE	CURSOR	Y	0.07765602824151834
17:14:18.154148		TRACK	STATE	CURSOR	X	-0.007885473933745649
17:14:18.154250		TRACK	STATE	CURSOR	Y	0.0764658089053922
17:14:18.174339		TRACK	STATE	CURSOR	X	-0.008052254384516427
17:14:18.174442		TRACK	STATE	CURSOR	Y	0.07526199636881843
17:14:18.194605		TRACK	STATE	CURSOR	X	-0.008223961743778244
17:14:18.194711		TRACK	STATE	CURSOR	Y	0.07404480366710016
17:14:18.215204		TRACK	STATE	CURSOR	X	-0.008409538913695724
17:14:18.215318		TRACK	STATE	CURSOR	Y	0.07275258634216561
17:14:18.235600		TRACK	STATE	CURSOR	X	-0.008591293448623416
17:14:18.235711		TRACK	STATE	CURSOR	Y	0.07150863908217021
17:14:18.255889		TRACK	STATE	CURSOR	X	-0.008777920951934248
17:14:18.255999		TRACK	STATE	CURSOR	Y	0.0702519741715881
17:14:18.275937		TRACK	STATE	CURSOR	X	-0.008969401529259893
17:14:18.276043		TRACK	STATE	CURSOR	Y	0.06898281289234298
17:14:18.296121		TRACK	STATE	CURSOR	X	-0.00917565627971669
17:14:18.296226		TRACK	STATE	CURSOR	Y	0.06763698861359933
