#	date	

15:43:24.465782		MAIN	INFO	SCENARIO	FILENAME	complete_track.txt
15:43:24.466209		MAIN	INFO	SCREENSIZE	WIDTH	1600
15:43:24.467142		MAIN	INFO	SCREENSIZE	HEIGHT	900
15:43:24.488678		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 469]
15:43:24.488990		MAIN	INFO	COMMUNICATIONS	AOI_Y	[483, 900]
15:43:24.490006		MAIN	INFO	SCHEDULING	AOI_X	[1313, 1600]
15:43:24.490280		MAIN	INFO	SCHEDULING	AOI_Y	[33, 450]
15:43:24.490817		MAIN	INFO	RESMAN	AOI_X	[469, 1321]
15:43:24.491064		MAIN	INFO	RESMAN	AOI_Y	[483, 900]
15:43:24.491548		MAIN	INFO	SYSMON	AOI_X	[0, 557]
15:43:24.491780		MAIN	INFO	SYSMON	AOI_Y	[33, 450]
15:43:24.492321		MAIN	INFO	TRACK	AOI_X	[469, 1321]
15:43:24.492559		MAIN	INFO	TRACK	AOI_Y	[33, 450]
15:43:24.493123		MAIN	INFO	PUMPSTATUS	AOI_X	[1313, 1600]
15:43:24.493360		MAIN	INFO	PUMPSTATUS	AOI_Y	[483, 900]
15:43:24.554705		MAIN	SCENARIO	TRACK	CURSORCOLOR	#009900
15:43:24.555272		TRACK	STATE	TARGET	X	0.5
15:43:24.555348		TRACK	STATE	TARGET	Y	0.5
15:43:24.555402		TRACK	STATE	TARGET	RADIUS	0.1
15:43:24.555471		TRACK	STATE		MODE	MANUAL
15:43:24.555546		MAIN	STATE	TRACK	START
15:43:24.576267		TRACK	STATE	CURSOR	X	-0.0055251087259057625
15:43:24.576408		TRACK	STATE	CURSOR	Y	0.11365877026351329
15:43:24.596107		TRACK	STATE	CURSOR	X	-0.005471493663948233
15:43:24.596194		TRACK	STATE	CURSOR	Y	0.11323516252851762
15:43:24.616141		TRACK	STATE	CURSOR	X	-0.0054224660187912055
15:43:24.616225		TRACK	STATE	CURSOR	Y	0.11279114028693811
15:43:24.636290		TRACK	STATE	CURSOR	X	-0.005378055132373272
15:43:24.636392		TRACK	STATE	CURSOR	Y	0.11232679675924297
15:43:24.656271		TRACK	STATE	CURSOR	X	-0.005338289435310052
15:43:24.656356		TRACK	STATE	CURSOR	Y	0.11184222839910386
15:43:24.676311		TRACK	STATE	CURSOR	X	-0.005303196439486263
15:43:24.676394		TRACK	STATE	CURSOR	Y	0.11133753487643346
15:43:24.696374		TRACK	STATE	CURSOR	X	-0.00527280273079093
15:43:24.696456		TRACK	STATE	CURSOR	Y	0.11081281905994611
15:43:24.716452		TRACK	STATE	CURSOR	X	-0.0052471339619933515
15:43:24.716569		TRACK	STATE	CURSOR	Y	0.1102681869992454
15:43:24.736473		TRACK	STATE	CURSOR	X	-0.005226214845765048
15:43:24.736540		TRACK	STATE	CURSOR	Y	0.10970374790643961
15:43:24.756543		TRACK	STATE	CURSOR	X	-0.005210069147845664
15:43:24.756625		TRACK	STATE	CURSOR	Y	0.10911961413728917
15:43:24.776574		TRACK	STATE	CURSOR	X	-0.005198719680355707
15:43:24.776656		TRACK	STATE	CURSOR	Y	0.10851590117189062
15:43:24.796633		TRACK	STATE	CURSOR	X	-0.005192188295256407
15:43:24.796715		TRACK	STATE	CURSOR	Y	0.10789272759489689
15:43:24.816769		TRACK	STATE	CURSOR	X	-0.005190495877958418
15:43:24.816905		TRACK	STATE	CURSOR	Y	0.10725021507527736
15:43:24.836769		TRACK	STATE	CURSOR	X	-0.005193662341079717
15:43:24.836863		TRACK	STATE	CURSOR	Y	0.10658848834562444
15:43:24.856875		TRACK	STATE	CURSOR	X	-0.005202237201008569
15:43:24.856966		TRACK	STATE	CURSOR	Y	0.10587313583719588
15:43:24.877121		TRACK	STATE	CURSOR	X	-0.005215422482913475
15:43:24.877299		TRACK	STATE	CURSOR	Y	0.10517242273888326
15:43:24.897076		TRACK	STATE	CURSOR	X	-0.005233521307990328
15:43:24.897185		TRACK	STATE	CURSOR	Y	0.1044528945643813
15:43:24.917137		TRACK	STATE	CURSOR	X	-0.0052565495883368325
15:43:24.917242		TRACK	STATE	CURSOR	Y	0.10371468823303187
15:43:24.937237		TRACK	STATE	CURSOR	X	-0.0052845222340569264
15:43:24.937381		TRACK	STATE	CURSOR	Y	0.10295794361643691
15:43:24.957223		TRACK	STATE	CURSOR	X	-0.005317453147945507
15:43:24.957329		TRACK	STATE	CURSOR	Y	0.10218280351507443
15:43:24.977335		TRACK	STATE	CURSOR	X	-0.005355355220329251
15:43:24.977495		TRACK	STATE	CURSOR	Y	0.10138941363448035
15:43:24.997382		TRACK	STATE	CURSOR	X	-0.0053982403240645516
15:43:24.997487		TRACK	STATE	CURSOR	Y	0.10057792256100284
15:43:25.017427		TRACK	STATE	CURSOR	X	-0.005446119309693594
15:43:25.017525		TRACK	STATE	CURSOR	Y	0.09974848173712873
15:43:25.037482		TRACK	STATE	CURSOR	X	-0.005499002000759913
15:43:25.037639		TRACK	STATE	CURSOR	Y	0.09890124543639282
15:43:25.057605		TRACK	STATE	CURSOR	X	-0.00555689718928315
15:43:25.057712		TRACK	STATE	CURSOR	Y	0.09803637073786471
15:43:25.077820		TRACK	STATE	CURSOR	X	-0.005619812631395003
15:43:25.078001		TRACK	STATE	CURSOR	Y	0.09715401750022364
15:43:25.097793		TRACK	STATE	CURSOR	X	-0.005687755043136382
15:43:25.097947		TRACK	STATE	CURSOR	Y	0.09625434833542477
15:43:25.117714		TRACK	STATE	CURSOR	X	-0.005760730096416672
15:43:25.117797		TRACK	STATE	CURSOR	Y	0.09533752858195721
15:43:25.137896		TRACK	STATE	CURSOR	X	-0.0058387424151356655
15:43:25.138027		TRACK	STATE	CURSOR	Y	0.09440372627770072
15:43:25.157858		TRACK	STATE	CURSOR	X	-0.005921795571469592
15:43:25.157951		TRACK	STATE	CURSOR	Y	0.093453112132384
15:43:25.177895		TRACK	STATE	CURSOR	X	-0.006014429326595359
15:43:25.177985		TRACK	STATE	CURSOR	Y	0.09243706325309896
15:43:25.198047		TRACK	STATE	CURSOR	X	-0.0061078229100907655
15:43:25.198139		TRACK	STATE	CURSOR	Y	0.09145252964199067
15:43:25.218018		TRACK	STATE	CURSOR	X	-0.006206261694601349
15:43:25.218109		TRACK	STATE	CURSOR	Y	0.09045172106400283
15:43:25.238073		TRACK	STATE	CURSOR	X	-0.006309744958237097
15:43:25.238165		TRACK	STATE	CURSOR	Y	0.08943481876015487
15:43:25.258186		TRACK	STATE	CURSOR	X	-0.00641827091114978
15:43:25.258304		TRACK	STATE	CURSOR	Y	0.08840200649830382
15:43:25.278265		TRACK	STATE	CURSOR	X	-0.006531836692821498
15:43:25.278371		TRACK	STATE	CURSOR	Y	0.08735347054328486
15:43:25.298343		TRACK	STATE	CURSOR	X	-0.006650438369521949
15:43:25.298449		TRACK	STATE	CURSOR	Y	0.08628939962668457
15:43:25.318457		TRACK	STATE	CURSOR	X	-0.006774070931933209
