#	date	

23:56:41.986320		MAIN	INFO	SCENARIO	FILENAME	complete_track.txt
23:56:41.986595		MAIN	INFO	SCREENSIZE	WIDTH	1920
23:56:41.986709		MAIN	INFO	SCREENSIZE	HEIGHT	1080
23:56:41.993643		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 563]
23:56:41.993703		MAIN	INFO	COMMUNICATIONS	AOI_Y	[580, 1080]
23:56:41.993993		MAIN	INFO	SYSMON	AOI_X	[0, 668]
23:56:41.994041		MAIN	INFO	SYSMON	AOI_Y	[40, 540]
23:56:41.994173		MAIN	INFO	TRACK	AOI_X	[563, 1585]
23:56:41.994213		MAIN	INFO	TRACK	AOI_Y	[40, 540]
23:56:41.994291		MAIN	INFO	RESMAN	AOI_X	[563, 1585]
23:56:41.994329		MAIN	INFO	RESMAN	AOI_Y	[580, 1080]
23:56:41.994403		MAIN	INFO	PUMPSTATUS	AOI_X	[1576, 1919]
23:56:41.994441		MAIN	INFO	PUMPSTATUS	AOI_Y	[580, 1080]
23:56:41.994514		MAIN	INFO	SCHEDULING	AOI_X	[1576, 1919]
23:56:41.994550		MAIN	INFO	SCHEDULING	AOI_Y	[40, 540]
23:56:42.017546		MAIN	SCENARIO	TRACK	CURSORCOLOR	#009900
23:56:42.017940		TRACK	STATE	TARGET	X	0.5
23:56:42.018005		TRACK	STATE	TARGET	Y	0.5
23:56:42.018034		TRACK	STATE	TARGET	RADIUS	0.1
23:56:42.018061		TRACK	STATE		MODE	MANUAL
23:56:42.018083		MAIN	STATE	TRACK	START
23:56:42.018131		MAIN	SCENARIO	TRACK	AUTOMATICSOLVER	False
23:56:42.039837		TRACK	STATE	CURSOR	X	-0.0055251087259057625
23:56:42.040275		TRACK	STATE	CURSOR	Y	0.11365877026351329
23:56:42.066766		TRACK	STATE	CURSOR	X	-0.005451330452394404
23:56:42.066887		TRACK	STATE	CURSOR	Y	0.11305999822494754
23:56:42.087579		TRACK	STATE	CURSOR	X	-0.005404146040566928
23:56:42.087842		TRACK	STATE	CURSOR	Y	0.11260783610103202
23:56:42.107216		TRACK	STATE	CURSOR	X	-0.005361589869501508
23:56:42.107328		TRACK	STATE	CURSOR	Y	0.112135390885424
23:56:42.127411		TRACK	STATE	CURSOR	X	-0.005323690003202458
23:56:42.127535		TRACK	STATE	CURSOR	Y	0.11164276032035408
23:56:42.147695		TRACK	STATE	CURSOR	X	-0.005288936177727753
23:56:42.147796		TRACK	STATE	CURSOR	Y	0.11110388424830007
23:56:42.167893		TRACK	STATE	CURSOR	X	-0.005260665573525706
