#	date	

23:28:19.930344		MAIN	INFO	SCENARIO	FILENAME	complete_track.txt
23:28:19.930474		MAIN	INFO	SCREENSIZE	WIDTH	1920
23:28:19.930523		MAIN	INFO	SCREENSIZE	HEIGHT	1080
23:28:19.935197		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 563]
23:28:19.935264		MAIN	INFO	COMMUNICATIONS	AOI_Y	[580, 1080]
23:28:19.935545		MAIN	INFO	SYSMON	AOI_X	[0, 668]
23:28:19.935598		MAIN	INFO	SYSMON	AOI_Y	[40, 540]
23:28:19.935747		MAIN	INFO	TRACK	AOI_X	[563, 1585]
23:28:19.935800		MAIN	INFO	TRACK	AOI_Y	[40, 540]
23:28:19.935909		MAIN	INFO	RESMAN	AOI_X	[563, 1585]
23:28:19.935958		MAIN	INFO	RESMAN	AOI_Y	[580, 1080]
23:28:19.936060		MAIN	INFO	PUMPSTATUS	AOI_X	[1576, 1919]
23:28:19.936108		MAIN	INFO	PUMPSTATUS	AOI_Y	[580, 1080]
23:28:19.936212		MAIN	INFO	SCHEDULING	AOI_X	[1576, 1919]
23:28:19.936260		MAIN	INFO	SCHEDULING	AOI_Y	[40, 540]
23:28:19.957528		MAIN	SCENARIO	TRACK	CURSORCOLOR	#009900
23:28:19.957907		TRACK	STATE	TARGET	X	0.5
23:28:19.957967		TRACK	STATE	TARGET	Y	0.5
23:28:19.958007		TRACK	STATE	TARGET	RADIUS	0.1
23:28:19.958043		TRACK	STATE		MODE	MANUAL
23:28:19.958075		MAIN	STATE	TRACK	START
23:28:19.958139		MAIN	SCENARIO	TRACK	AUTOMATICSOLVER	False
23:28:19.994716		TRACK	STATE	CURSOR	X	-0.005481850637892471
23:28:19.994836		TRACK	STATE	CURSOR	Y	0.11332152016200658
23:28:20.014794		TRACK	STATE	CURSOR	X	-0.005431903132989839
23:28:20.014926		TRACK	STATE	CURSOR	Y	0.11288157346786228
23:28:20.035124		TRACK	STATE	CURSOR	X	-0.005386566591104934
23:28:20.035239		TRACK	STATE	CURSOR	Y	0.1124212865843177
23:28:20.055537		TRACK	STATE	CURSOR	X	-0.005345869625715076
23:28:20.055699		TRACK	STATE	CURSOR	Y	0.11194075531974602
23:28:20.076127		TRACK	STATE	CURSOR	X	-0.0053081614484858
23:28:20.076241		TRACK	STATE	CURSOR	Y	0.11141451787595867
23:28:20.096379		TRACK	STATE	CURSOR	X	-0.005277061188474504
23:28:20.096530		TRACK	STATE	CURSOR	Y	0.11089279872040915
23:28:20.116822		TRACK	STATE	CURSOR	X	-0.005249487504867256
23:28:20.117076		TRACK	STATE	CURSOR	Y	0.11032354334846135
23:28:20.137545		TRACK	STATE	CURSOR	X	-0.005227147626590971
23:28:20.137656		TRACK	STATE	CURSOR	Y	0.10973243855629367
23:28:20.157802		TRACK	STATE	CURSOR	X	-0.005210762708014562
23:28:20.157918		TRACK	STATE	CURSOR	Y	0.1091492868041997
23:28:20.178248		TRACK	STATE	CURSOR	X	-0.0051991729020115325
23:28:20.178441		TRACK	STATE	CURSOR	Y	0.10854655000795378
23:28:20.198236		TRACK	STATE	CURSOR	X	-0.005192400108704254
23:28:20.198356		TRACK	STATE	CURSOR	Y	0.10792434659745687
23:28:20.219089		TRACK	STATE	CURSOR	X	-0.005190495877958418
23:28:20.219218		TRACK	STATE	CURSOR	Y	0.10725021507527736
23:28:20.239431		TRACK	STATE	CURSOR	X	-0.005193662341079717
23:28:20.239611		TRACK	STATE	CURSOR	Y	0.10658848834562444
23:28:20.259540		TRACK	STATE	CURSOR	X	-0.005202237201008569
23:28:20.259646		TRACK	STATE	CURSOR	Y	0.10587313583719588
23:28:20.279821		TRACK	STATE	CURSOR	X	-0.005215422482913475
23:28:20.279934		TRACK	STATE	CURSOR	Y	0.10517242273888326
23:28:20.300027		TRACK	STATE	CURSOR	X	-0.005233521307990328
23:28:20.300140		TRACK	STATE	CURSOR	Y	0.1044528945643813
23:28:20.320257		TRACK	STATE	CURSOR	X	-0.0052565495883368325
23:28:20.320388		TRACK	STATE	CURSOR	Y	0.10371468823303187
23:28:20.340541		TRACK	STATE	CURSOR	X	-0.0052860509096201895
23:28:20.340653		TRACK	STATE	CURSOR	Y	0.10291962230468714
23:28:20.360736		TRACK	STATE	CURSOR	X	-0.005319230083725988
23:28:20.360890		TRACK	STATE	CURSOR	Y	0.10214356622981087
23:28:20.381056		TRACK	STATE	CURSOR	X	-0.0053573810341756385
23:28:20.381180		TRACK	STATE	CURSOR	Y	0.10134926773680464
23:28:20.401300		TRACK	STATE	CURSOR	X	-0.005400515582823405
23:28:20.401419		TRACK	STATE	CURSOR	Y	0.10053687555541242
23:28:20.421494		TRACK	STATE	CURSOR	X	-0.0054511822588880305
23:28:20.421611		TRACK	STATE	CURSOR	Y	0.09966455633361304
23:28:20.441685		TRACK	STATE	CURSOR	X	-0.005504565821117589
23:28:20.441797		TRACK	STATE	CURSOR	Y	0.09881554907847162
23:28:20.462091		TRACK	STATE	CURSOR	X	-0.0055629627031028766
23:28:20.462292		TRACK	STATE	CURSOR	Y	0.09794891928675471
