#	date	

11:34:42.844470		MAIN	INFO	SCENARIO	FILENAME	scenario_settings5.txt
11:34:42.846402		MAIN	INFO	SCREENSIZE	WIDTH	1920
11:34:42.846402		MAIN	INFO	SCREENSIZE	HEIGHT	1080
11:34:42.906854		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 563]
11:34:42.907968		MAIN	INFO	COMMUNICATIONS	AOI_Y	[580, 1080]
11:34:42.916217		MAIN	INFO	PUMPSTATUS	AOI_X	[1576, 1919]
11:34:42.916217		MAIN	INFO	PUMPSTATUS	AOI_Y	[580, 1080]
11:34:42.917733		MAIN	INFO	RESMAN	AOI_X	[563, 1585]
11:34:42.918258		MAIN	INFO	RESMAN	AOI_Y	[580, 1080]
11:34:42.918762		MAIN	INFO	SCHEDULING	AOI_X	[1576, 1919]
11:34:42.919258		MAIN	INFO	SCHEDULING	AOI_Y	[40, 540]
11:34:42.919631		MAIN	INFO	SYSMON	AOI_X	[0, 668]
11:34:42.919631		MAIN	INFO	SYSMON	AOI_Y	[40, 540]
11:34:42.920131		MAIN	INFO	TRACK	AOI_X	[563, 1585]
11:34:42.920747		MAIN	INFO	TRACK	AOI_Y	[40, 540]
11:34:42.975454		MAIN	SCENARIO	COMMUNICATIONS	CALLSIGNREGEX	[A-Z][A-Z]\d\d
11:34:42.976951		MAIN	SCENARIO	COMMUNICATIONS	OTHERCALLSIGNNUMBER	5
11:34:42.976951		MAIN	SCENARIO	COMMUNICATIONS	VOICEGENDER	male
11:34:42.977951		MAIN	SCENARIO	COMMUNICATIONS	VOICEIDIOM	english
11:34:42.989289		COMMUN	STATE	OWNCALLSIGN		TA04
11:34:43.089082		COMMUN	STATE	OTHERCALLSIGN		['NP61', 'MG35', 'WH29', 'CJ78', 'FI91']
11:34:43.094831		MAIN	STATE	COMMUNICATIONS	START
11:34:43.095830		TRACK	STATE	TARGET	X	0.5
11:34:43.096969		TRACK	STATE	TARGET	Y	0.5
11:34:43.096969		TRACK	STATE	TARGET	RADIUS	0.1
11:34:43.097468		TRACK	STATE		MODE	MANUAL
11:34:43.097468		MAIN	STATE	TRACK	START
11:34:43.098594		MAIN	SCENARIO	TRACK	AUTOMATICSOLVER	True
11:34:43.899720		MAIN	STATE	SYSMON	START
11:34:43.921453		TRACK	STATE	CURSOR	X	-0.0055251087259057625
11:34:43.921954		TRACK	STATE	CURSOR	Y	0.10365877026351329
11:34:43.940561		TRACK	STATE	CURSOR	X	-0.005471493663948233
11:34:43.941562		TRACK	STATE	CURSOR	Y	0.09323516252851763
