#	date	

17:44:58.516451		MAIN	INFO	SCENARIO	FILENAME	sample_scenario_complete.txt
17:44:58.516874		MAIN	INFO	SCREENSIZE	WIDTH	1600
17:44:58.517132		MAIN	INFO	SCREENSIZE	HEIGHT	900
17:44:58.525180		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 469]
17:44:58.525291		MAIN	INFO	COMMUNICATIONS	AOI_Y	[483, 900]
17:44:58.525680		MAIN	INFO	SCHEDULING	AOI_X	[1313, 1600]
17:44:58.525774		MAIN	INFO	SCHEDULING	AOI_Y	[33, 450]
17:44:58.525958		MAIN	INFO	RESMAN	AOI_X	[469, 1321]
17:44:58.526040		MAIN	INFO	RESMAN	AOI_Y	[483, 900]
17:44:58.526204		MAIN	INFO	SYSMON	AOI_X	[0, 557]
17:44:58.526282		MAIN	INFO	SYSMON	AOI_Y	[33, 450]
17:44:58.526465		MAIN	INFO	TRACK	AOI_X	[469, 1321]
17:44:58.526544		MAIN	INFO	TRACK	AOI_Y	[33, 450]
17:44:58.526734		MAIN	INFO	PUMPSTATUS	AOI_X	[1313, 1600]
17:44:58.526814		MAIN	INFO	PUMPSTATUS	AOI_Y	[483, 900]
17:44:58.573709		MAIN	SCENARIO	COMMUNICATIONS	CALLSIGNREGEX	[A-Z][A-Z]\d\d
17:44:58.573867		MAIN	SCENARIO	COMMUNICATIONS	OTHERCALLSIGNNUMBER	5
17:44:58.573928		MAIN	SCENARIO	COMMUNICATIONS	VOICEGENDER	male
17:44:58.573981		MAIN	SCENARIO	COMMUNICATIONS	VOICEIDIOM	english
17:44:58.575567		COMMUN	STATE	OWNCALLSIGN		CL01
17:44:58.601080		COMMUN	STATE	OTHERCALLSIGN		['IV82', 'BY53', 'EN94', 'DQ67', 'ZX43']
17:44:58.603189		MAIN	STATE	COMMUNICATIONS	START
17:44:58.622534		MAIN	STATE	SYSMON	START
