#	date	

11:06:25.222909		MAIN	INFO	SCENARIO	FILENAME	complete_track.txt
11:06:25.223215		MAIN	INFO	SCREENSIZE	WIDTH	1920
11:06:25.223387		MAIN	INFO	SCREENSIZE	HEIGHT	1080
11:06:25.236949		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 563]
11:06:25.237071		MAIN	INFO	COMMUNICATIONS	AOI_Y	[580, 1080]
11:06:25.237508		MAIN	INFO	SYSMON	AOI_X	[0, 668]
11:06:25.237616		MAIN	INFO	SYSMON	AOI_Y	[40, 540]
11:06:25.237869		MAIN	INFO	TRACK	AOI_X	[563, 1585]
11:06:25.237977		MAIN	INFO	TRACK	AOI_Y	[40, 540]
11:06:25.238180		MAIN	INFO	RESMAN	AOI_X	[563, 1585]
11:06:25.238260		MAIN	INFO	RESMAN	AOI_Y	[580, 1080]
11:06:25.238421		MAIN	INFO	PUMPSTATUS	AOI_X	[1576, 1919]
11:06:25.238495		MAIN	INFO	PUMPSTATUS	AOI_Y	[580, 1080]
11:06:25.238648		MAIN	INFO	SCHEDULING	AOI_X	[1576, 1919]
11:06:25.238721		MAIN	INFO	SCHEDULING	AOI_Y	[40, 540]
11:06:25.268698		MAIN	SCENARIO	TRACK	CURSORCOLOR	#009900
11:06:25.269051		TRACK	STATE	TARGET	X	0.5
11:06:25.269108		TRACK	STATE	TARGET	Y	0.5
11:06:25.269133		TRACK	STATE	TARGET	RADIUS	0.1
11:06:25.269156		TRACK	STATE		MODE	MANUAL
11:06:25.269175		MAIN	STATE	TRACK	START
11:06:25.269221		MAIN	SCENARIO	TRACK	AUTOMATICSOLVER	True
11:06:25.306870		TRACK	STATE	CURSOR	X	-0.005479244204372698
11:06:25.306993		TRACK	STATE	CURSOR	Y	0.10330000734903033
11:06:25.326929		TRACK	STATE	CURSOR	X	-0.005429526553974967
11:06:25.327043		TRACK	STATE	CURSOR	Y	0.0928590414198641
11:06:25.347491		TRACK	STATE	CURSOR	X	-0.0053844213189396155
11:06:25.347595		TRACK	STATE	CURSOR	Y	0.08239774001498683
11:06:25.367669		TRACK	STATE	CURSOR	X	-0.0053420561801727955
11:06:25.367809		TRACK	STATE	CURSOR	Y	0.07189159253711387
11:06:25.387897		TRACK	STATE	CURSOR	X	-0.005306494702524811
11:06:25.388015		TRACK	STATE	CURSOR	Y	0.061388906954245766
11:06:25.408127		TRACK	STATE	CURSOR	X	-0.005275629895290429
11:06:25.408230		TRACK	STATE	CURSOR	Y	0.05086618864725034
11:06:25.428474		TRACK	STATE	CURSOR	X	-0.005249487504867256
11:06:25.428582		TRACK	STATE	CURSOR	Y	0.04032354334846137
11:06:25.448688		TRACK	STATE	CURSOR	X	-0.005227147626590971
11:06:25.448797		TRACK	STATE	CURSOR	Y	0.029732438556293678
11:06:25.468824		TRACK	STATE	CURSOR	X	-0.005210762708014562
11:06:25.468927		TRACK	STATE	CURSOR	Y	0.019149286804199715
11:06:25.488953		TRACK	STATE	CURSOR	X	-0.0051991729020115325
11:06:25.489054		TRACK	STATE	CURSOR	Y	0.018546550007953792
11:06:25.509104		TRACK	STATE	CURSOR	X	-0.005192400108704254
11:06:25.509209		TRACK	STATE	CURSOR	Y	0.017924346597456876
11:06:25.529253		TRACK	STATE	CURSOR	X	-0.005190465261980248
11:06:25.529356		TRACK	STATE	CURSOR	Y	0.017282798087950947
11:06:25.549375		TRACK	STATE	CURSOR	X	-0.005193388323243102
11:06:25.549479		TRACK	STATE	CURSOR	Y	0.016622029059345657
11:06:25.569529		TRACK	STATE	CURSOR	X	-0.005201188275313157
11:06:25.569642		TRACK	STATE	CURSOR	Y	0.015942167135093437
11:06:25.589688		TRACK	STATE	CURSOR	X	-0.0052146466586917945
11:06:25.589800		TRACK	STATE	CURSOR	Y	0.015207906377363294
11:06:25.609880		TRACK	STATE	CURSOR	X	-0.005232499420391695
11:06:25.610000		TRACK	STATE	CURSOR	Y	0.014489315729475587
11:06:25.630185		TRACK	STATE	CURSOR	X	-0.005255280865508888
11:06:25.630286		TRACK	STATE	CURSOR	Y	0.01375204000846477
11:06:25.650288		TRACK	STATE	CURSOR	X	-0.005283005954374457
11:06:25.650390		TRACK	STATE	CURSOR	Y	0.01299621893887102
11:06:25.670502		TRACK	STATE	CURSOR	X	-0.005315688640272727
11:06:25.670601		TRACK	STATE	CURSOR	Y	0.01222199517529119
11:06:25.690672		TRACK	STATE	CURSOR	X	-0.005355355220329251
11:06:25.690787		TRACK	STATE	CURSOR	Y	0.011389413634480365
11:06:25.711054		TRACK	STATE	CURSOR	X	-0.0053982403240645516
11:06:25.711204		TRACK	STATE	CURSOR	Y	0.010577922561002852
11:06:25.731250		TRACK	STATE	CURSOR	X	-0.005446119309693594
11:06:25.731359		TRACK	STATE	CURSOR	Y	0.009748481737128743
11:06:25.751417		TRACK	STATE	CURSOR	X	-0.005499002000759913
11:06:25.751530		TRACK	STATE	CURSOR	Y	0.008901245436392834
11:06:25.771580		TRACK	STATE	CURSOR	X	-0.005559923670317259
11:06:25.771716		TRACK	STATE	CURSOR	Y	0.007992666850687648
11:06:25.791789		TRACK	STATE	CURSOR	X	-0.005623090310067978
11:06:25.791900		TRACK	STATE	CURSOR	Y	0.007109443931881655
11:06:25.812049		TRACK	STATE	CURSOR	X	-0.005691284227874682
11:06:25.812160		TRACK	STATE	CURSOR	Y	0.006208913288311045
11:06:25.832274		TRACK	STATE	CURSOR	X	-0.005764511043336741
11:06:25.832394		TRACK	STATE	CURSOR	Y	0.005291240394082207
11:06:25.852709		TRACK	STATE	CURSOR	X	-0.005846820843265442
11:06:25.852830		TRACK	STATE	CURSOR	Y	0.004309418556310611
11:06:25.872840		TRACK	STATE	CURSOR	X	-0.005930378239232342
11:06:25.872953		TRACK	STATE	CURSOR	Y	0.0033571327179578656
11:06:25.893079		TRACK	STATE	CURSOR	X	-0.006018979183235074
11:06:25.893193		TRACK	STATE	CURSOR	Y	0.002388225871880971
11:06:25.913264		TRACK	STATE	CURSOR	X	-0.006112625027471887
11:06:25.913376		TRACK	STATE	CURSOR	Y	0.0014028742472992559
11:06:25.933448		TRACK	STATE	CURSOR	X	-0.006211316061949616
11:06:25.933566		TRACK	STATE	CURSOR	Y	0.00040125665741946176
11:06:25.953602		TRACK	STATE	CURSOR	X	-0.0063203706713094625
11:06:25.953713		TRACK	STATE	CURSOR	Y	-0.0006677495718188167
11:06:25.973724		TRACK	STATE	CURSOR	X	-0.0064294007535099324
11:06:25.973836		TRACK	STATE	CURSOR	Y	-0.001702142625843582
11:06:25.993875		TRACK	STATE	CURSOR	X	-0.006543470319431551
11:06:25.994030		TRACK	STATE	CURSOR	Y	-0.002752240610379715
11:06:26.014232		TRACK	STATE	CURSOR	X	-0.006662575327889257
11:06:26.014330		TRACK	STATE	CURSOR	Y	-0.0038178545488418217
11:06:26.034331		TRACK	STATE	CURSOR	X	-0.006786710661882245
11:06:26.034447		TRACK	STATE	CURSOR	Y	-0.0048987930315606346
11:06:26.054654		TRACK	STATE	CURSOR	X	-0.006922459857168069
11:06:26.054765		TRACK	STATE	CURSOR	Y	-0.006050059380250057
11:06:26.075112		TRACK	STATE	CURSOR	X	-0.007056886809597772
11:06:26.075231		TRACK	STATE	CURSOR	Y	-0.007161804681029331
11:06:26.095263		TRACK	STATE	CURSOR	X	-0.00719632181434728
11:06:26.095376		TRACK	STATE	CURSOR	Y	-0.008288276023251918
11:06:26.115397		TRACK	STATE	CURSOR	X	-0.007340755376738691
11:06:26.115502		TRACK	STATE	CURSOR	Y	-0.00942927246375972
11:06:26.135508		TRACK	STATE	CURSOR	X	-0.007490176916959042
11:06:26.135641		TRACK	STATE	CURSOR	Y	-0.010584590786344987
11:06:26.155746		TRACK	STATE	CURSOR	X	-0.007652425065360707
11:06:26.155878		TRACK	STATE	CURSOR	Y	-0.011812864112395467
11:06:26.175954		TRACK	STATE	CURSOR	X	-0.007812034298352403
11:06:26.176115		TRACK	STATE	CURSOR	Y	-0.012996897570021017
11:06:26.196196		TRACK	STATE	CURSOR	X	-0.007976592525766277
11:06:26.196322		TRACK	STATE	CURSOR	Y	-0.014194619403303778
11:06:26.216322		TRACK	STATE	CURSOR	X	-0.008146084761175537
11:06:26.216421		TRACK	STATE	CURSOR	Y	-0.015405817528192055
11:06:26.236478		TRACK	STATE	CURSOR	X	-0.008320494928057068
11:06:26.236591		TRACK	STATE	CURSOR	Y	-0.01663027775613913
11:06:26.256850		TRACK	STATE	CURSOR	X	-0.008508899728103592
11:06:26.256965		TRACK	STATE	CURSOR	Y	-0.017929997678394906
