#	date	

22:50:55.019436		MAIN	INFO	SCENARIO	FILENAME	complete_track.txt
22:50:55.019545		MAIN	INFO	SCREENSIZE	WIDTH	1920
22:50:55.019587		MAIN	INFO	SCREENSIZE	HEIGHT	1080
22:50:55.026099		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 563]
22:50:55.026165		MAIN	INFO	COMMUNICATIONS	AOI_Y	[580, 1080]
22:50:55.029036		MAIN	INFO	SYSMON	AOI_X	[0, 668]
22:50:55.029091		MAIN	INFO	SYSMON	AOI_Y	[40, 540]
22:50:55.029202		MAIN	INFO	TRACK	AOI_X	[563, 1585]
22:50:55.029246		MAIN	INFO	TRACK	AOI_Y	[40, 540]
22:50:55.029329		MAIN	INFO	RESMAN	AOI_X	[563, 1585]
22:50:55.029366		MAIN	INFO	RESMAN	AOI_Y	[580, 1080]
22:50:55.029440		MAIN	INFO	PUMPSTATUS	AOI_X	[1576, 1919]
22:50:55.029477		MAIN	INFO	PUMPSTATUS	AOI_Y	[580, 1080]
22:50:55.029549		MAIN	INFO	SCHEDULING	AOI_X	[1576, 1919]
22:50:55.029584		MAIN	INFO	SCHEDULING	AOI_Y	[40, 540]
22:50:55.052556		MAIN	SCENARIO	TRACK	CURSORCOLOR	#009900
22:50:55.053225		TRACK	STATE	TARGET	X	0.5
22:50:55.053340		TRACK	STATE	TARGET	Y	0.5
22:50:55.053384		TRACK	STATE	TARGET	RADIUS	0.1
22:50:55.053424		TRACK	STATE		MODE	MANUAL
22:50:55.053457		MAIN	STATE	TRACK	START
22:50:55.099961		TRACK	STATE	CURSOR	X	-0.0054588055206605994
22:50:55.100134		TRACK	STATE	CURSOR	Y	0.11312606724210182
22:50:55.120676		TRACK	STATE	CURSOR	X	-0.0054086566819160535
22:50:55.120821		TRACK	STATE	CURSOR	Y	0.11265396663740275
22:50:55.141414		TRACK	STATE	CURSOR	X	-0.005363607320375867
22:50:55.141579		TRACK	STATE	CURSOR	Y	0.11215949337377058
22:50:55.161938		TRACK	STATE	CURSOR	X	-0.005323690003202458
22:50:55.162082		TRACK	STATE	CURSOR	Y	0.11164276032035408
22:50:55.182201		TRACK	STATE	CURSOR	X	-0.005290473584020063
22:50:55.182319		TRACK	STATE	CURSOR	Y	0.11113004535737525
22:50:55.202502		TRACK	STATE	CURSOR	X	-0.005261966825442221
22:50:55.202618		TRACK	STATE	CURSOR	Y	0.11059735013973304
22:50:55.222916		TRACK	STATE	CURSOR	X	-0.005238195005028497
22:50:55.223092		TRACK	STATE	CURSOR	Y	0.11004478198426536
22:50:55.243627		TRACK	STATE	CURSOR	X	-0.005218357184558375
22:50:55.243750		TRACK	STATE	CURSOR	Y	0.10944331809155759
22:50:55.264761		TRACK	STATE	CURSOR	X	-0.005203793496970088
22:50:55.264909		TRACK	STATE	CURSOR	Y	0.1088201977151082
22:50:55.284522		TRACK	STATE	CURSOR	X	-0.005194850399441693
22:50:55.284753		TRACK	STATE	CURSOR	Y	0.10820673942758113
22:50:55.304502		TRACK	STATE	CURSOR	X	-0.005190735948221716
22:50:55.304627		TRACK	STATE	CURSOR	Y	0.10757388097868636
22:50:55.325022		TRACK	STATE	CURSOR	X	-0.005191634912888811
22:50:55.325149		TRACK	STATE	CURSOR	Y	0.1068886350331048
22:50:55.345680		TRACK	STATE	CURSOR	X	-0.005197481893576013
22:50:55.346353		TRACK	STATE	CURSOR	Y	0.10621639475840265
22:50:55.365806		TRACK	STATE	CURSOR	X	-0.005208216682562476
22:50:55.365918		TRACK	STATE	CURSOR	Y	0.10552513961406894
22:50:55.386160		TRACK	STATE	CURSOR	X	-0.005224767745196267
22:50:55.386321		TRACK	STATE	CURSOR	Y	0.10477900192299361
22:50:55.407159		TRACK	STATE	CURSOR	X	-0.00524674576481197
22:50:55.407397		TRACK	STATE	CURSOR	Y	0.10401220325847128
22:50:55.427428		TRACK	STATE	CURSOR	X	-0.005272738939520655
22:50:55.427557		TRACK	STATE	CURSOR	Y	0.1032628569834051
22:50:55.447770		TRACK	STATE	CURSOR	X	-0.005303684942490662
22:50:55.447884		TRACK	STATE	CURSOR	Y	0.10249505775343005
