#	date	

23:04:11.109111		MAIN	INFO	SCENARIO	FILENAME	complete_track.txt
23:04:11.109243		MAIN	INFO	SCREENSIZE	WIDTH	1920
23:04:11.109300		MAIN	INFO	SCREENSIZE	HEIGHT	1080
23:04:11.112756		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 563]
23:04:11.112868		MAIN	INFO	COMMUNICATIONS	AOI_Y	[580, 1080]
23:04:11.113163		MAIN	INFO	SYSMON	AOI_X	[0, 668]
23:04:11.113220		MAIN	INFO	SYSMON	AOI_Y	[40, 540]
23:04:11.113367		MAIN	INFO	TRACK	AOI_X	[563, 1585]
23:04:11.113420		MAIN	INFO	TRACK	AOI_Y	[40, 540]
23:04:11.113531		MAIN	INFO	RESMAN	AOI_X	[563, 1585]
23:04:11.113580		MAIN	INFO	RESMAN	AOI_Y	[580, 1080]
23:04:11.113684		MAIN	INFO	PUMPSTATUS	AOI_X	[1576, 1919]
23:04:11.113734		MAIN	INFO	PUMPSTATUS	AOI_Y	[580, 1080]
23:04:11.113838		MAIN	INFO	SCHEDULING	AOI_X	[1576, 1919]
23:04:11.113888		MAIN	INFO	SCHEDULING	AOI_Y	[40, 540]
23:04:11.133610		MAIN	SCENARIO	TRACK	CURSORCOLOR	#009900
23:04:11.133974		TRACK	STATE	TARGET	X	0.5
23:04:11.134036		TRACK	STATE	TARGET	Y	0.5
23:04:11.134064		TRACK	STATE	TARGET	RADIUS	0.1
23:04:11.134090		TRACK	STATE		MODE	MANUAL
23:04:11.134113		MAIN	STATE	TRACK	START
23:04:11.134160		MAIN	SCENARIO	TRACK	AUTOMATICSOLVER	False
23:04:11.172049		TRACK	STATE	CURSOR	X	-0.005479244204372698
23:04:11.172175		TRACK	STATE	CURSOR	Y	0.11330000734903033
23:04:11.192410		TRACK	STATE	CURSOR	X	-0.005429526553974967
23:04:11.192724		TRACK	STATE	CURSOR	Y	0.1128590414198641
23:04:11.213201		TRACK	STATE	CURSOR	X	-0.005382287649422816
23:04:11.213329		TRACK	STATE	CURSOR	Y	0.11237414284622206
23:04:11.233801		TRACK	STATE	CURSOR	X	-0.005340166968460801
23:04:11.234107		TRACK	STATE	CURSOR	Y	0.11186693563121912
23:04:11.254565		TRACK	STATE	CURSOR	X	-0.005304839698433659
23:04:11.254693		TRACK	STATE	CURSOR	Y	0.11136324595006136
23:04:11.275531		TRACK	STATE	CURSOR	X	-0.00527280273079093
23:04:11.275659		TRACK	STATE	CURSOR	Y	0.11081281905994611
23:04:11.294846		TRACK	STATE	CURSOR	X	-0.0052471339619933515
23:04:11.295032		TRACK	STATE	CURSOR	Y	0.1102681869992454
23:04:11.315736		TRACK	STATE	CURSOR	X	-0.005225293998683184
