#	date	

10:48:34.579941		MAIN	INFO	SCENARIO	FILENAME	complete_track.txt
10:48:34.580245		MAIN	INFO	SCREENSIZE	WIDTH	1920
10:48:34.580386		MAIN	INFO	SCREENSIZE	HEIGHT	1080
10:48:34.586235		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 563]
10:48:34.586294		MAIN	INFO	COMMUNICATIONS	AOI_Y	[580, 1080]
10:48:34.586542		MAIN	INFO	SYSMON	AOI_X	[0, 668]
10:48:34.586587		MAIN	INFO	SYSMON	AOI_Y	[40, 540]
10:48:34.586684		MAIN	INFO	TRACK	AOI_X	[563, 1585]
10:48:34.586735		MAIN	INFO	TRACK	AOI_Y	[40, 540]
10:48:34.586829		MAIN	INFO	RESMAN	AOI_X	[563, 1585]
10:48:34.586859		MAIN	INFO	RESMAN	AOI_Y	[580, 1080]
10:48:34.586939		MAIN	INFO	PUMPSTATUS	AOI_X	[1576, 1919]
10:48:34.586976		MAIN	INFO	PUMPSTATUS	AOI_Y	[580, 1080]
10:48:34.587049		MAIN	INFO	SCHEDULING	AOI_X	[1576, 1919]
10:48:34.587081		MAIN	INFO	SCHEDULING	AOI_Y	[40, 540]
10:48:34.608247		MAIN	SCENARIO	TRACK	CURSORCOLOR	#009900
10:48:34.608606		TRACK	STATE	TARGET	X	0.5
10:48:34.608669		TRACK	STATE	TARGET	Y	0.5
10:48:34.608695		TRACK	STATE	TARGET	RADIUS	0.1
10:48:34.608719		TRACK	STATE		MODE	MANUAL
10:48:34.608739		MAIN	STATE	TRACK	START
10:48:34.608787		MAIN	SCENARIO	TRACK	AUTOMATICSOLVER	True
10:48:34.650018		TRACK	STATE	CURSOR	X	-0.005471493663948233
10:48:34.650140		TRACK	STATE	CURSOR	Y	0.10323516252851762
10:48:34.670600		TRACK	STATE	CURSOR	X	-0.005420135586415316
10:48:34.670717		TRACK	STATE	CURSOR	Y	0.09276840495240178
10:48:34.690803		TRACK	STATE	CURSOR	X	-0.005375956291845174
10:48:34.690909		TRACK	STATE	CURSOR	Y	0.08230304786550513
10:48:34.710989		TRACK	STATE	CURSOR	X	-0.005336423584104799
10:48:34.711110		TRACK	STATE	CURSOR	Y	0.07181747085341751
10:48:34.731192		TRACK	STATE	CURSOR	X	-0.005299945170088675
10:48:34.731302		TRACK	STATE	CURSOR	Y	0.06128596257305837
10:48:34.751445		TRACK	STATE	CURSOR	X	-0.0052700228164659635
10:48:34.751564		TRACK	STATE	CURSOR	Y	0.05075925030759093
10:48:34.771877		TRACK	STATE	CURSOR	X	-0.005244827916426433
10:48:34.771995		TRACK	STATE	CURSOR	Y	0.04021263257711514
10:48:34.792166		TRACK	STATE	CURSOR	X	-0.005223488117378577
10:48:34.792282		TRACK	STATE	CURSOR	Y	0.029617380589856288
10:48:34.812523		TRACK	STATE	CURSOR	X	-0.00520806042314161
10:48:34.812695		TRACK	STATE	CURSOR	Y	0.01903030250331921
10:48:34.832925		TRACK	STATE	CURSOR	X	-0.005197432298496239
10:48:34.833092		TRACK	STATE	CURSOR	Y	0.018423662810806075
10:48:34.853245		TRACK	STATE	CURSOR	X	-0.005191462043121727
10:48:34.853374		TRACK	STATE	CURSOR	Y	0.017765768258923766
