#	date	

16:21:10.487318		MAIN	INFO	SCENARIO	FILENAME	scenario_demo.txt
16:21:10.489430		MAIN	INFO	SCREENSIZE	WIDTH	1920
16:21:10.489859		MAIN	INFO	SCREENSIZE	HEIGHT	1080
16:21:10.533494		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 563]
16:21:10.533494		MAIN	INFO	COMMUNICATIONS	AOI_Y	[580, 1080]
16:21:10.538652		MAIN	INFO	PUMPSTATUS	AOI_X	[1576, 1919]
16:21:10.539656		MAIN	INFO	PUMPSTATUS	AOI_Y	[580, 1080]
16:21:10.540660		MAIN	INFO	RESMAN	AOI_X	[563, 1585]
16:21:10.540660		MAIN	INFO	RESMAN	AOI_Y	[580, 1080]
16:21:10.541292		MAIN	INFO	SCHEDULING	AOI_X	[1576, 1919]
16:21:10.541292		MAIN	INFO	SCHEDULING	AOI_Y	[40, 540]
16:21:10.541292		MAIN	INFO	SYSMON	AOI_X	[0, 668]
16:21:10.541292		MAIN	INFO	SYSMON	AOI_Y	[40, 540]
16:21:10.542544		MAIN	INFO	TRACK	AOI_X	[563, 1585]
16:21:10.542544		MAIN	INFO	TRACK	AOI_Y	[40, 540]
16:21:10.551522		MAIN	SCENARIO	COMMUNICATIONS	CALLSIGNREGEX	[A-Z][A-Z]\d\d
16:21:10.552024		MAIN	SCENARIO	COMMUNICATIONS	OTHERCALLSIGNNUMBER	5
16:21:10.552523		MAIN	SCENARIO	COMMUNICATIONS	VOICEGENDER	male
16:21:10.553086		MAIN	SCENARIO	COMMUNICATIONS	VOICEIDIOM	english
16:21:10.581579		COMMUN	STATE	OWNCALLSIGN		SD48
16:21:10.590369		COMMUN	STATE	OTHERCALLSIGN		['NZ79', 'IM02', 'HW13', 'QK65', 'JY57']
16:21:10.595431		MAIN	STATE	COMMUNICATIONS	START
16:21:10.596433		TRACK	STATE	TARGET	X	0.5
16:21:10.597190		TRACK	STATE	TARGET	Y	0.5
16:21:10.597641		TRACK	STATE	TARGET	RADIUS	0.1
16:21:10.598707		TRACK	STATE		MODE	MANUAL
16:21:10.598747		MAIN	STATE	TRACK	START
16:21:10.599979		MAIN	SCENARIO	TRACK	AUTOMATICSOLVER	True
16:21:11.039766		MAIN	STATE	SYSMON	START
16:21:11.043202		MAIN	STATE	PUMPSTATUS	START
16:21:11.044858		RESMAN	STATE	TANK	TOLERANCE	500
16:21:11.044858		RESMAN	STATE	TANKA	TARGET	2500
16:21:11.045880		RESMAN	STATE	TANKB	TARGET	2500
16:21:11.052277		MAIN	STATE	RESMAN	START
16:21:11.058208		MAIN	STATE	SCHEDULING	START
16:21:11.058208		MAIN	STATE		PAUSE
16:21:11.080159		MAIN	STATE	PARTICIPANTINFO	START
16:21:13.652451		MAIN	INPUT	KEY_RELEASE	68
16:21:13.880070		MAIN	INPUT	KEY_RELEASE	69
16:21:14.021681		MAIN	INPUT	KEY_RELEASE	77
16:21:14.051683		MAIN	INPUT	KEY_RELEASE	79
16:21:15.948959		PARTICIPANTINFO	INPUT	PARTID	demo
16:21:15.950002		MAIN	STATE		RESUME
16:21:16.051851		TRACK	STATE	CURSOR	X	-0.005373869067975194
16:21:16.052850		TRACK	STATE	CURSOR	Y	0.10227924842128618
16:21:16.072274		TRACK	STATE	CURSOR	X	-0.005334569418223532
16:21:16.073274		TRACK	STATE	CURSOR	Y	0.09179266300682933
16:21:16.092312		TRACK	STATE	CURSOR	X	-0.005298337166157213
16:21:16.093321		TRACK	STATE	CURSOR	Y	0.0812601013694671
16:21:16.112799		TRACK	STATE	CURSOR	X	-0.00526865058597802
16:21:16.112799		TRACK	STATE	CURSOR	Y	0.07073239127819193
16:21:16.132956		TRACK	STATE	CURSOR	X	-0.005243692712697201
16:21:16.132956		TRACK	STATE	CURSOR	Y	0.060184781123365304
16:21:16.152994		TRACK	STATE	CURSOR	X	-0.005223488117378577
16:21:16.153957		TRACK	STATE	CURSOR	Y	0.04961738058985629
16:21:16.173494		TRACK	STATE	CURSOR	X	-0.005207414842783364
16:21:16.173494		TRACK	STATE	CURSOR	Y	0.039000434129779195
16:21:16.194504		TRACK	STATE	CURSOR	X	-0.005197027274453185
16:21:16.194504		TRACK	STATE	CURSOR	Y	0.028392819456297
16:21:16.214611		TRACK	STATE	CURSOR	X	-0.00519131074319167
16:21:16.214611		TRACK	STATE	CURSOR	Y	0.0177339076706921
16:21:16.234253		TRACK	STATE	CURSOR	X	-0.005190831217325285
