#	date	

23:29:42.725380		MAIN	INFO	SCENARIO	FILENAME	complete_track.txt
23:29:42.725518		MAIN	INFO	SCREENSIZE	WIDTH	1920
23:29:42.725576		MAIN	INFO	SCREENSIZE	HEIGHT	1080
23:29:42.729011		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 563]
23:29:42.729079		MAIN	INFO	COMMUNICATIONS	AOI_Y	[580, 1080]
23:29:42.729307		MAIN	INFO	SYSMON	AOI_X	[0, 668]
23:29:42.729367		MAIN	INFO	SYSMON	AOI_Y	[40, 540]
23:29:42.729474		MAIN	INFO	TRACK	AOI_X	[563, 1585]
23:29:42.729516		MAIN	INFO	TRACK	AOI_Y	[40, 540]
23:29:42.729594		MAIN	INFO	RESMAN	AOI_X	[563, 1585]
23:29:42.729632		MAIN	INFO	RESMAN	AOI_Y	[580, 1080]
23:29:42.729705		MAIN	INFO	PUMPSTATUS	AOI_X	[1576, 1919]
23:29:42.729741		MAIN	INFO	PUMPSTATUS	AOI_Y	[580, 1080]
23:29:42.729814		MAIN	INFO	SCHEDULING	AOI_X	[1576, 1919]
23:29:42.729851		MAIN	INFO	SCHEDULING	AOI_Y	[40, 540]
23:29:42.750622		MAIN	SCENARIO	TRACK	CURSORCOLOR	#009900
23:29:42.751036		TRACK	STATE	TARGET	X	0.5
23:29:42.751142		TRACK	STATE	TARGET	Y	0.5
23:29:42.751173		TRACK	STATE	TARGET	RADIUS	0.1
23:29:42.751203		TRACK	STATE		MODE	MANUAL
23:29:42.751228		MAIN	STATE	TRACK	START
23:29:42.751299		MAIN	SCENARIO	TRACK	AUTOMATICSOLVER	False
23:29:42.772267		TRACK	STATE	CURSOR	X	-0.0055251087259057625
23:29:42.772503		TRACK	STATE	CURSOR	Y	0.11365877026351329
23:29:42.798994		TRACK	STATE	CURSOR	X	-0.0054538106483831466
23:29:42.799127		TRACK	STATE	CURSOR	Y	0.113082072190821
23:29:42.820206		TRACK	STATE	CURSOR	X	-0.005404146040566928
23:29:42.820430		TRACK	STATE	CURSOR	Y	0.11260783610103202
23:29:42.839929		TRACK	STATE	CURSOR	X	-0.005361589869501508
23:29:42.840037		TRACK	STATE	CURSOR	Y	0.112135390885424
23:29:42.860128		TRACK	STATE	CURSOR	X	-0.005323690003202458
23:29:42.860254		TRACK	STATE	CURSOR	Y	0.11164276032035408
23:29:42.880438		TRACK	STATE	CURSOR	X	-0.005290473584020063
23:29:42.880557		TRACK	STATE	CURSOR	Y	0.11113004535737525
23:29:42.900666		TRACK	STATE	CURSOR	X	-0.005260665573525706
23:29:42.900790		TRACK	STATE	CURSOR	Y	0.11057019280868986
23:29:42.920938		TRACK	STATE	CURSOR	X	-0.005237131146672884
23:29:42.921055		TRACK	STATE	CURSOR	Y	0.11001663388007123
23:29:42.941200		TRACK	STATE	CURSOR	X	-0.005218357184558375
23:29:42.941402		TRACK	STATE	CURSOR	Y	0.10944331809155759
23:29:42.961706		TRACK	STATE	CURSOR	X	-0.005203793496970088
23:29:42.961831		TRACK	STATE	CURSOR	Y	0.1088201977151082
23:29:42.981972		TRACK	STATE	CURSOR	X	-0.005194850399441693
23:29:42.982110		TRACK	STATE	CURSOR	Y	0.10820673942758113
23:29:43.002754		TRACK	STATE	CURSOR	X	-0.005190657347694629
23:29:43.002906		TRACK	STATE	CURSOR	Y	0.10754173099892493
23:29:43.023162		TRACK	STATE	CURSOR	X	-0.005191634912888811
23:29:43.023274		TRACK	STATE	CURSOR	Y	0.1068886350331048
23:29:43.043314		TRACK	STATE	CURSOR	X	-0.005197481893576013
23:29:43.043448		TRACK	STATE	CURSOR	Y	0.10621639475840265
23:29:43.063472		TRACK	STATE	CURSOR	X	-0.005208216682562476
23:29:43.063592		TRACK	STATE	CURSOR	Y	0.10552513961406894
23:29:43.083876		TRACK	STATE	CURSOR	X	-0.005224767745196267
23:29:43.083986		TRACK	STATE	CURSOR	Y	0.10477900192299361
23:29:43.104039		TRACK	STATE	CURSOR	X	-0.005245575865489405
23:29:43.104161		TRACK	STATE	CURSOR	Y	0.10404918362915971
23:29:43.124149		TRACK	STATE	CURSOR	X	-0.005271321765949503
23:29:43.124258		TRACK	STATE	CURSOR	Y	0.10330076374400225
23:29:43.144252		TRACK	STATE	CURSOR	X	-0.005302019803308346
23:29:43.144374		TRACK	STATE	CURSOR	Y	0.10253388375292694
23:29:43.164387		TRACK	STATE	CURSOR	X	-0.005337683324131694
23:29:43.164499		TRACK	STATE	CURSOR	Y	0.10174868805716807
23:29:43.184545		TRACK	STATE	CURSOR	X	-0.005378324659746664
23:29:43.184664		TRACK	STATE	CURSOR	Y	0.10094532394973599
23:29:43.204702		TRACK	STATE	CURSOR	X	-0.0054263677978497
23:29:43.204857		TRACK	STATE	CURSOR	Y	0.10008240222633985
23:29:43.224982		TRACK	STATE	CURSOR	X	-0.005477247893833877
23:29:43.225091		TRACK	STATE	CURSOR	Y	0.09924226542339405
23:29:43.245198		TRACK	STATE	CURSOR	X	-0.005533137094532912
23:29:43.245367		TRACK	STATE	CURSOR	Y	0.09838442705601395
23:29:43.265508		TRACK	STATE	CURSOR	X	-0.005594043570947171
23:29:43.265633		TRACK	STATE	CURSOR	Y	0.09750904587417215
23:29:43.285804		TRACK	STATE	CURSOR	X	-0.0056634030042920225
23:29:43.285921		TRACK	STATE	CURSOR	Y	0.09657119194309778
23:29:43.305946		TRACK	STATE	CURSOR	X	-0.005734616053339951
23:29:43.306057		TRACK	STATE	CURSOR	Y	0.09566035591895282
23:29:43.326407		TRACK	STATE	CURSOR	X	-0.0058108648689087035
23:29:43.326833		TRACK	STATE	CURSOR	Y	0.09473247822542019
23:29:43.346933		TRACK	STATE	CURSOR	X	-0.00589635016642176
23:29:43.347042		TRACK	STATE	CURSOR	Y	0.093740051355581
23:29:43.367092		TRACK	STATE	CURSOR	X	-0.005982933469569592
23:29:43.367221		TRACK	STATE	CURSOR	Y	0.09277777191076074
23:29:43.387315		TRACK	STATE	CURSOR	X	-0.006074561259359419
23:29:43.387439		TRACK	STATE	CURSOR	Y	0.09179897688405092
23:29:43.407445		TRACK	STATE	CURSOR	X	-0.00617123425104842
23:29:43.407610		TRACK	STATE	CURSOR	Y	0.09080384405853792
23:29:43.427823		TRACK	STATE	CURSOR	X	-0.006278170394653578
23:29:43.427932		TRACK	STATE	CURSOR	Y	0.08974156840688952
23:29:43.448035		TRACK	STATE	CURSOR	X	-0.006385183792371398
23:29:43.448151		TRACK	STATE	CURSOR	Y	0.08871350968766294
23:29:43.468291		TRACK	STATE	CURSOR	X	-0.006497237989578501
23:29:43.468438		TRACK	STATE	CURSOR	Y	0.08766967113542666
23:29:43.488685		TRACK	STATE	CURSOR	X	-0.006620316090731974
23:29:43.488822		TRACK	STATE	CURSOR	Y	0.08655686334534056
23:29:43.509125		TRACK	STATE	CURSOR	X	-0.006742691460244939
23:29:43.509576		TRACK	STATE	CURSOR	Y	0.08548126652932221
23:29:43.529731		TRACK	STATE	CURSOR	X	-0.006876595165302063
23:29:43.529879		TRACK	STATE	CURSOR	Y	0.0843355356173599
23:29:43.550007		TRACK	STATE	CURSOR	X	-0.007009267256890754
23:29:43.550113		TRACK	STATE	CURSOR	Y	0.08322899147822442
23:29:43.570135		TRACK	STATE	CURSOR	X	-0.007146950467846071
23:29:43.570245		TRACK	STATE	CURSOR	Y	0.08210765151055183
