#	date	

22:08:10.322578		MAIN	INFO	SCENARIO	FILENAME	scenario_settings5.txt
22:08:10.323017		MAIN	INFO	SCREENSIZE	WIDTH	1600
22:08:10.323275		MAIN	INFO	SCREENSIZE	HEIGHT	900
22:08:10.330680		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 469]
22:08:10.330794		MAIN	INFO	COMMUNICATIONS	AOI_Y	[483, 900]
22:08:10.331179		MAIN	INFO	SCHEDULING	AOI_X	[1313, 1600]
22:08:10.331270		MAIN	INFO	SCHEDULING	AOI_Y	[33, 450]
22:08:10.331451		MAIN	INFO	RESMAN	AOI_X	[469, 1321]
22:08:10.331532		MAIN	INFO	RESMAN	AOI_Y	[483, 900]
22:08:10.331694		MAIN	INFO	SYSMON	AOI_X	[0, 557]
22:08:10.331775		MAIN	INFO	SYSMON	AOI_Y	[33, 450]
22:08:10.331959		MAIN	INFO	TRACK	AOI_X	[469, 1321]
22:08:10.332038		MAIN	INFO	TRACK	AOI_Y	[33, 450]
22:08:10.332225		MAIN	INFO	PUMPSTATUS	AOI_X	[1313, 1600]
22:08:10.332304		MAIN	INFO	PUMPSTATUS	AOI_Y	[483, 900]
22:08:10.379956		MAIN	SCENARIO	COMMUNICATIONS	CALLSIGNREGEX	[A-Z][A-Z]\d\d
22:08:10.380124		MAIN	SCENARIO	COMMUNICATIONS	OTHERCALLSIGNNUMBER	5
22:08:10.380184		MAIN	SCENARIO	COMMUNICATIONS	VOICEGENDER	male
22:08:10.380237		MAIN	SCENARIO	COMMUNICATIONS	VOICEIDIOM	english
22:08:10.382588		COMMUN	STATE	OWNCALLSIGN		AH35
22:08:10.388428		COMMUN	STATE	OTHERCALLSIGN		['GL10', 'JC42', 'ME86', 'XP79', 'BQ67']
22:08:10.390495		MAIN	STATE	COMMUNICATIONS	START
22:08:10.390945		TRACK	STATE	TARGET	X	0.5
22:08:10.391078		TRACK	STATE	TARGET	Y	0.5
22:08:10.391131		TRACK	STATE	TARGET	RADIUS	0.1
22:08:10.391181		TRACK	STATE		MODE	MANUAL
22:08:10.391226		MAIN	STATE	TRACK	START
22:08:10.391294		MAIN	SCENARIO	TRACK	AUTOMATICSOLVER	True
22:08:10.410749		MAIN	STATE	SYSMON	START
22:08:10.432025		TRACK	STATE	CURSOR	X	-0.0055251087259057625
22:08:10.432145		TRACK	STATE	CURSOR	Y	0.10365877026351329
22:08:10.451988		TRACK	STATE	CURSOR	X	-0.005471493663948233
22:08:10.452076		TRACK	STATE	CURSOR	Y	0.09323516252851763
22:08:10.472028		TRACK	STATE	CURSOR	X	-0.0054224660187912055
22:08:10.472114		TRACK	STATE	CURSOR	Y	0.08279114028693813
22:08:10.492096		TRACK	STATE	CURSOR	X	-0.005375956291845174
22:08:10.492180		TRACK	STATE	CURSOR	Y	0.07230304786550514
22:08:10.512167		TRACK	STATE	CURSOR	X	-0.005336423584104799
22:08:10.512256		TRACK	STATE	CURSOR	Y	0.06181747085341751
22:08:10.532205		TRACK	STATE	CURSOR	X	-0.005301564928950499
22:08:10.532289		TRACK	STATE	CURSOR	Y	0.051311773746409856
22:08:10.552358		TRACK	STATE	CURSOR	X	-0.005271406865783303
22:08:10.552457		TRACK	STATE	CURSOR	Y	0.040786059572670126
22:08:10.572304		TRACK	STATE	CURSOR	X	-0.005245975000532255
22:08:10.572387		TRACK	STATE	CURSOR	Y	0.030240434540367858
22:08:10.592368		TRACK	STATE	CURSOR	X	-0.005225293998683184
22:08:10.592507		TRACK	STATE	CURSOR	Y	0.019675008019245425
22:08:10.612427		TRACK	STATE	CURSOR	X	-0.005209387578452462
22:08:10.612524		TRACK	STATE	CURSOR	Y	0.019089892521742736
22:08:10.632470		TRACK	STATE	CURSOR	X	-0.005198278504106664
22:08:10.632556		TRACK	STATE	CURSOR	Y	0.018485203683657823
22:08:10.652604		TRACK	STATE	CURSOR	X	-0.0051919885794302345
22:08:10.652700		TRACK	STATE	CURSOR	Y	0.017861060244343606
22:08:10.672630		TRACK	STATE	CURSOR	X	-0.005190538641341114
22:08:10.672713		TRACK	STATE	CURSOR	Y	0.0172175840264464
22:08:10.692743		TRACK	STATE	CURSOR	X	-0.0051939485536563745
22:08:10.692844		TRACK	STATE	CURSOR	Y	0.016554899915188014
22:08:10.712758		TRACK	STATE	CURSOR	X	-0.005202237201008569
22:08:10.712841		TRACK	STATE	CURSOR	Y	0.015873135837195886
22:08:10.732798		TRACK	STATE	CURSOR	X	-0.005215422482913475
22:08:10.732881		TRACK	STATE	CURSOR	Y	0.015172422738883272
22:08:10.752906		TRACK	STATE	CURSOR	X	-0.005233521307990328
22:08:10.752989		TRACK	STATE	CURSOR	Y	0.014452894564381306
22:08:10.772910		TRACK	STATE	CURSOR	X	-0.0052565495883368325
22:08:10.772994		TRACK	STATE	CURSOR	Y	0.013714688233031881
22:08:10.792978		TRACK	STATE	CURSOR	X	-0.0052845222340569264
22:08:10.793060		TRACK	STATE	CURSOR	Y	0.012957943616436922
22:08:10.813052		TRACK	STATE	CURSOR	X	-0.005317453147945507
22:08:10.813137		TRACK	STATE	CURSOR	Y	0.01218280351507444
22:08:10.833085		TRACK	STATE	CURSOR	X	-0.0053573810341756385
22:08:10.833167		TRACK	STATE	CURSOR	Y	0.011349267736804648
22:08:10.853147		TRACK	STATE	CURSOR	X	-0.005400515582823405
22:08:10.853241		TRACK	STATE	CURSOR	Y	0.010536875555412432
22:08:10.873190		TRACK	STATE	CURSOR	X	-0.005448644528971601
22:08:10.873273		TRACK	STATE	CURSOR	Y	0.009706541270274087
22:08:10.893232		TRACK	STATE	CURSOR	X	-0.005501777644693719
22:08:10.893314		TRACK	STATE	CURSOR	Y	0.00885841929580921
22:08:10.913449		TRACK	STATE	CURSOR	X	-0.005559923670317259
22:08:10.913593		TRACK	STATE	CURSOR	Y	0.007992666850687648
22:08:10.933545		TRACK	STATE	CURSOR	X	-0.005623090310067978
22:08:10.933690		TRACK	STATE	CURSOR	Y	0.007109443931881655
22:08:10.953576		TRACK	STATE	CURSOR	X	-0.005691284227874682
22:08:10.953704		TRACK	STATE	CURSOR	Y	0.006208913288311045
22:08:10.973544		TRACK	STATE	CURSOR	X	-0.005764511043336741
22:08:10.973628		TRACK	STATE	CURSOR	Y	0.005291240394082207
22:08:10.993602		TRACK	STATE	CURSOR	X	-0.005842775327855182
22:08:10.993684		TRACK	STATE	CURSOR	Y	0.0043565934213251264
22:08:11.013643		TRACK	STATE	CURSOR	X	-0.0059260806009251805
22:08:11.013730		TRACK	STATE	CURSOR	Y	0.0034051432126310996
22:08:11.033653		TRACK	STATE	CURSOR	X	-0.006014429326595359
22:08:11.033736		TRACK	STATE	CURSOR	Y	0.0024370632530989686
22:08:11.053703		TRACK	STATE	CURSOR	X	-0.0061078229100907655
22:08:11.053784		TRACK	STATE	CURSOR	Y	0.0014525296419906839
22:08:11.073839		TRACK	STATE	CURSOR	X	-0.006206261694601349
22:08:11.073925		TRACK	STATE	CURSOR	Y	0.0004517210640028399
22:08:11.093830		TRACK	STATE	CURSOR	X	-0.006309744958237097
22:08:11.093912		TRACK	STATE	CURSOR	Y	-0.0005651812398451209
22:08:11.113902		TRACK	STATE	CURSOR	X	-0.00641827091114978
22:08:11.113985		TRACK	STATE	CURSOR	Y	-0.0015979935016961697
22:08:11.133948		TRACK	STATE	CURSOR	X	-0.006531836692821498
22:08:11.134033		TRACK	STATE	CURSOR	Y	-0.0026465294567151257
22:08:11.154040		TRACK	STATE	CURSOR	X	-0.006650438369521949
22:08:11.154136		TRACK	STATE	CURSOR	Y	-0.0037106003733154216
22:08:11.174191		TRACK	STATE	CURSOR	X	-0.00678038451621311
22:08:11.174313		TRACK	STATE	CURSOR	Y	-0.004844385131808272
22:08:11.194145		TRACK	STATE	CURSOR	X	-0.006909292938006166
22:08:11.194241		TRACK	STATE	CURSOR	Y	-0.005939702450147501
22:08:11.214184		TRACK	STATE	CURSOR	X	-0.007043218604730441
22:08:11.214270		TRACK	STATE	CURSOR	Y	-0.0070499641833889695
22:08:11.234225		TRACK	STATE	CURSOR	X	-0.007182153213616195
22:08:11.234293		TRACK	STATE	CURSOR	Y	-0.008174971926122536
22:08:11.254274		TRACK	STATE	CURSOR	X	-0.007326087378419259
22:08:11.254358		TRACK	STATE	CURSOR	Y	-0.009314524964281291
22:08:11.274324		TRACK	STATE	CURSOR	X	-0.007475010627902919
22:08:11.274405		TRACK	STATE	CURSOR	Y	-0.01046842030749532
22:08:11.294369		TRACK	STATE	CURSOR	X	-0.007628911404491003
22:08:11.294451		TRACK	STATE	CURSOR	Y	-0.011636452721779676
22:08:11.314434		TRACK	STATE	CURSOR	X	-0.007787777063092231
22:08:11.314501		TRACK	STATE	CURSOR	Y	-0.012818414762550266
22:08:11.334484		TRACK	STATE	CURSOR	X	-0.007951593870095678
22:08:11.334569		TRACK	STATE	CURSOR	Y	-0.014014096807965871
22:08:11.354543		TRACK	STATE	CURSOR	X	-0.00812034700253871
22:08:11.354611		TRACK	STATE	CURSOR	Y	-0.015223287092590777
22:08:11.374607		TRACK	STATE	CURSOR	X	-0.008294020547446277
22:08:11.374718		TRACK	STATE	CURSOR	Y	-0.016445771741372205
22:08:11.394649		TRACK	STATE	CURSOR	X	-0.008472597501342688
22:08:11.394716		TRACK	STATE	CURSOR	Y	-0.017681334803925634
22:08:11.414752		TRACK	STATE	CURSOR	X	-0.008656059769936794
22:08:11.414872		TRACK	STATE	CURSOR	Y	-0.01892975828912668
22:08:11.434787		TRACK	STATE	CURSOR	X	-0.008844388167978176
22:08:11.434872		TRACK	STATE	CURSOR	Y	-0.010190822200003837
22:08:11.454850		TRACK	STATE	CURSOR	X	-0.009037562419287428
22:08:11.454939		TRACK	STATE	CURSOR	Y	-0.011464304568922919
22:08:11.474893		TRACK	STATE	CURSOR	X	-0.009235561156959162
22:08:11.474976		TRACK	STATE	CURSOR	Y	-0.012749981493061129
22:08:11.494945		TRACK	STATE	CURSOR	X	-0.009438361923738018
22:08:11.495028		TRACK	STATE	CURSOR	Y	-0.014047627170168041
22:08:11.515006		TRACK	STATE	CURSOR	X	-0.009645941172567516
22:08:11.515088		TRACK	STATE	CURSOR	Y	-0.015357013934601637
22:08:11.535060		TRACK	STATE	CURSOR	X	-0.009869015253708646
22:08:11.535135		TRACK	STATE	CURSOR	Y	-0.0167442552498389
22:08:11.555113		TRACK	STATE	CURSOR	X	-0.010086312181363308
22:08:11.555194		TRACK	STATE	CURSOR	Y	-0.01807699183302669
22:08:11.575158		TRACK	STATE	CURSOR	X	-0.010308309050097239
22:08:11.575239		TRACK	STATE	CURSOR	Y	-0.01942076399349569
22:08:11.595226		TRACK	STATE	CURSOR	X	-0.010534977908348592
22:08:11.595308		TRACK	STATE	CURSOR	Y	-0.010775336892949116
22:08:11.615281		TRACK	STATE	CURSOR	X	-0.010766289720174524
22:08:11.615372		TRACK	STATE	CURSOR	Y	-0.012140474015750706
22:08:11.635327		TRACK	STATE	CURSOR	X	-0.01100221436684759
22:08:11.635409		TRACK	STATE	CURSOR	Y	-0.01351593720653438
22:08:11.655397		TRACK	STATE	CURSOR	X	-0.01124272064862634
22:08:11.655464		TRACK	STATE	CURSOR	Y	-0.014901486708049924
22:08:11.675528		TRACK	STATE	CURSOR	X	-0.01148777628669819
22:08:11.675643		TRACK	STATE	CURSOR	Y	-0.016296881199246563
22:08:11.695549		TRACK	STATE	CURSOR	X	-0.011737347925294924
22:08:11.695635		TRACK	STATE	CURSOR	Y	-0.017701877833585213
22:08:11.715656		TRACK	STATE	CURSOR	X	-0.011991401133981375
22:08:11.715738		TRACK	STATE	CURSOR	Y	-0.01911623227757095
22:08:11.735730		TRACK	STATE	CURSOR	X	-0.01224990041011595
22:08:11.735813		TRACK	STATE	CURSOR	Y	-0.010539698749506292
22:08:11.755778		TRACK	STATE	CURSOR	X	-0.01251280918148349
22:08:11.755861		TRACK	STATE	CURSOR	Y	-0.01197203005845403
22:08:11.775822		TRACK	STATE	CURSOR	X	-0.012780089809100096
22:08:11.775905		TRACK	STATE	CURSOR	Y	-0.013412977643408189
22:08:11.795890		TRACK	STATE	CURSOR	X	-0.013051703590189256
22:08:11.795972		TRACK	STATE	CURSOR	Y	-0.014862291612662623
22:08:11.815959		TRACK	STATE	CURSOR	X	-0.013327610761330053
22:08:11.816058		TRACK	STATE	CURSOR	Y	-0.016319720783375104
22:08:11.836033		TRACK	STATE	CURSOR	X	-0.013607770501775501
22:08:11.836116		TRACK	STATE	CURSOR	Y	-0.01778501272132109
22:08:11.856106		TRACK	STATE	CURSOR	X	-0.01390646922393828
22:08:11.856188		TRACK	STATE	CURSOR	Y	-0.019331754007349856
22:08:11.876151		TRACK	STATE	CURSOR	X	-0.014195214672003733
22:08:11.876233		TRACK	STATE	CURSOR	Y	-0.010812370377230702
22:08:11.896198		TRACK	STATE	CURSOR	X	-0.014488081692972063
22:08:11.896280		TRACK	STATE	CURSOR	Y	-0.0123000722772346
22:08:11.916344		TRACK	STATE	CURSOR	X	-0.014785025221378248
22:08:11.916459		TRACK	STATE	CURSOR	Y	-0.013794602615229296
22:08:11.936352		TRACK	STATE	CURSOR	X	-0.015085999153790294
22:08:11.936433		TRACK	STATE	CURSOR	Y	-0.015295703251117643
22:08:11.956391		TRACK	STATE	CURSOR	X	-0.015390956353154017
22:08:11.956480		TRACK	STATE	CURSOR	Y	-0.016803115037604545
22:08:11.976464		TRACK	STATE	CURSOR	X	-0.015699848653306175
22:08:11.976545		TRACK	STATE	CURSOR	Y	-0.01831657786111017
22:08:11.996525		TRACK	STATE	CURSOR	X	-0.016012626863655084
22:08:11.996615		TRACK	STATE	CURSOR	Y	-0.019835830682822863
22:08:12.016602		TRACK	STATE	CURSOR	X	-0.01632924077402791
22:08:12.016683		TRACK	STATE	CURSOR	Y	-0.01136061157988776
22:08:12.036696		TRACK	STATE	CURSOR	X	-0.016649639159685037
22:08:12.036790		TRACK	STATE	CURSOR	Y	-0.012890657786724118
22:08:12.056761		TRACK	STATE	CURSOR	X	-0.016973769786499338
22:08:12.056852		TRACK	STATE	CURSOR	Y	-0.01442570573646153
22:08:12.076811		TRACK	STATE	CURSOR	X	-0.017301579416301283
22:08:12.076891		TRACK	STATE	CURSOR	Y	-0.015965491102495732
22:08:12.096946		TRACK	STATE	CURSOR	X	-0.017633013812388132
22:08:12.097073		TRACK	STATE	CURSOR	Y	-0.017509748840153893
22:08:12.117011		TRACK	STATE	CURSOR	X	-0.017968017745197257
22:08:12.117124		TRACK	STATE	CURSOR	Y	-0.019058213228461438
22:08:12.137079		TRACK	STATE	CURSOR	X	-0.018306534998142453
22:08:12.137188		TRACK	STATE	CURSOR	Y	-0.010610617912009119
22:08:12.157131		TRACK	STATE	CURSOR	X	-0.018648508373612826
22:08:12.157235		TRACK	STATE	CURSOR	Y	-0.01216669594290849
22:08:12.177246		TRACK	STATE	CURSOR	X	-0.019011236404865184
22:08:12.177371		TRACK	STATE	CURSOR	Y	-0.013804238615057819
22:08:12.197300		TRACK	STATE	CURSOR	X	-0.019360111910131938
22:08:12.197469		TRACK	STATE	CURSOR	Y	-0.015367010185783691
22:08:12.217322		TRACK	STATE	CURSOR	X	-0.019712263091061166
22:08:12.217495		TRACK	STATE	CURSOR	Y	-0.01693263769103044
22:08:12.237456		TRACK	STATE	CURSOR	X	-0.010067628841559031
22:08:12.237561		TRACK	STATE	CURSOR	Y	-0.018500852214100878
22:08:12.257518		TRACK	STATE	CURSOR	X	-0.010426147107254627
22:08:12.257622		TRACK	STATE	CURSOR	Y	-0.010071384458877982
22:08:12.277626		TRACK	STATE	CURSOR	X	-0.010787754892464722
22:08:12.277746		TRACK	STATE	CURSOR	Y	-0.0116439647922038
22:08:12.297703		TRACK	STATE	CURSOR	X	-0.011152388267315542
22:08:12.297803		TRACK	STATE	CURSOR	Y	-0.013218323286302649
22:08:12.317652		TRACK	STATE	CURSOR	X	-0.01151998237501974
22:08:12.317742		TRACK	STATE	CURSOR	Y	-0.014794189761251283
