#	date	

10:32:13.596099		MAIN	INFO	SCENARIO	FILENAME	scenario_settings5.txt
10:32:13.597996		MAIN	INFO	SCREENSIZE	WIDTH	1920
10:32:13.598763		MAIN	INFO	SCREENSIZE	HEIGHT	1080
10:32:13.666897		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 563]
10:32:13.667388		MAIN	INFO	COMMUNICATIONS	AOI_Y	[580, 1080]
10:32:13.673677		MAIN	INFO	PUMPSTATUS	AOI_X	[1576, 1919]
10:32:13.675114		MAIN	INFO	PUMPSTATUS	AOI_Y	[580, 1080]
10:32:13.675615		MAIN	INFO	RESMAN	AOI_X	[563, 1585]
10:32:13.676114		MAIN	INFO	RESMAN	AOI_Y	[580, 1080]
10:32:13.677114		MAIN	INFO	SCHEDULING	AOI_X	[1576, 1919]
10:32:13.677620		MAIN	INFO	SCHEDULING	AOI_Y	[40, 540]
10:32:13.678313		MAIN	INFO	SYSMON	AOI_X	[0, 668]
10:32:13.679146		MAIN	INFO	SYSMON	AOI_Y	[40, 540]
10:32:13.679741		MAIN	INFO	TRACK	AOI_X	[563, 1585]
10:32:13.679741		MAIN	INFO	TRACK	AOI_Y	[40, 540]
10:32:13.722813		MAIN	SCENARIO	COMMUNICATIONS	CALLSIGNREGEX	[A-Z][A-Z]\d\d
10:32:13.723695		MAIN	SCENARIO	COMMUNICATIONS	OTHERCALLSIGNNUMBER	5
10:32:13.724695		MAIN	SCENARIO	COMMUNICATIONS	VOICEGENDER	male
10:32:13.725194		MAIN	SCENARIO	COMMUNICATIONS	VOICEIDIOM	english
10:32:13.734716		COMMUN	STATE	OWNCALLSIGN		PR08
10:32:13.757629		COMMUN	STATE	OTHERCALLSIGN		['JE69', 'KT17', 'XC42', 'IW53', 'OS91']
10:32:13.764368		MAIN	STATE	COMMUNICATIONS	START
10:32:13.767054		TRACK	STATE	TARGET	X	0.5
10:32:13.767054		TRACK	STATE	TARGET	Y	0.5
10:32:13.768099		TRACK	STATE	TARGET	RADIUS	0.1
10:32:13.768099		TRACK	STATE		MODE	MANUAL
10:32:13.768603		MAIN	STATE	TRACK	START
10:32:13.768603		MAIN	SCENARIO	TRACK	AUTOMATICSOLVER	True
10:32:14.353211		MAIN	STATE	SYSMON	START
10:32:14.376387		TRACK	STATE	CURSOR	X	-0.0055251087259057625
10:32:14.377479		TRACK	STATE	CURSOR	Y	0.10365877026351329
10:32:14.396026		TRACK	STATE	CURSOR	X	-0.005471493663948233
10:32:14.397026		TRACK	STATE	CURSOR	Y	0.09323516252851763
10:32:14.416221		TRACK	STATE	CURSOR	X	-0.005420135586415316
10:32:14.416221		TRACK	STATE	CURSOR	Y	0.08276840495240179
10:32:14.437296		TRACK	STATE	CURSOR	X	-0.005375956291845165
10:32:14.437934		TRACK	STATE	CURSOR	Y	0.07230304786550514
10:32:14.456942		TRACK	STATE	CURSOR	X	-0.005336423584104799
10:32:14.456942		TRACK	STATE	CURSOR	Y	0.06181747085341751
10:32:14.477734		TRACK	STATE	CURSOR	X	-0.005299945170088675
10:32:14.477734		TRACK	STATE	CURSOR	Y	0.05128596257305837
10:32:14.498648		TRACK	STATE	CURSOR	X	-0.00526865058597802
10:32:14.498648		TRACK	STATE	CURSOR	Y	0.04073239127819193
10:32:14.520637		TRACK	STATE	CURSOR	X	-0.00524256939235986
10:32:14.521393		TRACK	STATE	CURSOR	Y	0.030156880193015947
10:32:14.540412		TRACK	STATE	CURSOR	X	-0.005221730005872292
10:32:14.540909		TRACK	STATE	CURSOR	Y	0.019559556382361835
10:32:14.561718		TRACK	STATE	CURSOR	X	-0.0052061596905148555
10:32:14.562347		TRACK	STATE	CURSOR	Y	0.018940550727530016
10:32:14.583304		TRACK	STATE	CURSOR	X	-0.005195884549155862
10:32:14.585169		TRACK	STATE	CURSOR	Y	0.018299997901502933
10:32:14.606029		TRACK	STATE	CURSOR	X	-0.005190929515237697
10:32:14.607039		TRACK	STATE	CURSOR	Y	0.017638036343538645
10:32:14.624469		TRACK	STATE	CURSOR	X	-0.005191178315275935
10:32:14.624969		TRACK	STATE	CURSOR	Y	0.016987823001137818
10:32:14.647815		TRACK	STATE	CURSOR	X	-0.005196677539890476
10:32:14.648816		TRACK	STATE	CURSOR	Y	0.016284476614408176
