#	date	

14:22:24.137795		MAIN	INFO	SCENARIO	FILENAME	scenario_demo.txt
14:22:24.139883		MAIN	INFO	SCREENSIZE	WIDTH	1920
14:22:24.139883		MAIN	INFO	SCREENSIZE	HEIGHT	1080
14:22:24.187301		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 563]
14:22:24.188581		MAIN	INFO	COMMUNICATIONS	AOI_Y	[580, 1080]
14:22:24.193733		MAIN	INFO	PUMPSTATUS	AOI_X	[1576, 1919]
14:22:24.193733		MAIN	INFO	PUMPSTATUS	AOI_Y	[580, 1080]
14:22:24.194746		MAIN	INFO	RESMAN	AOI_X	[563, 1585]
14:22:24.194746		MAIN	INFO	RESMAN	AOI_Y	[580, 1080]
14:22:24.195795		MAIN	INFO	SCHEDULING	AOI_X	[1576, 1919]
14:22:24.195795		MAIN	INFO	SCHEDULING	AOI_Y	[40, 540]
14:22:24.196295		MAIN	INFO	SYSMON	AOI_X	[0, 668]
14:22:24.196794		MAIN	INFO	SYSMON	AOI_Y	[40, 540]
14:22:24.196957		MAIN	INFO	TRACK	AOI_X	[563, 1585]
14:22:24.196957		MAIN	INFO	TRACK	AOI_Y	[40, 540]
14:22:24.209479		MAIN	SCENARIO	COMMUNICATIONS	CALLSIGNREGEX	[A-Z][A-Z]\d\d
14:22:24.209980		MAIN	SCENARIO	COMMUNICATIONS	OTHERCALLSIGNNUMBER	5
14:22:24.210479		MAIN	SCENARIO	COMMUNICATIONS	VOICEGENDER	male
14:22:24.210979		MAIN	SCENARIO	COMMUNICATIONS	VOICEIDIOM	english
14:22:24.220388		COMMUN	STATE	OWNCALLSIGN		YH23
14:22:24.259276		COMMUN	STATE	OTHERCALLSIGN		['XF96', 'EB70', 'CL41', 'RJ85', 'TQ09']
14:22:24.262985		MAIN	STATE	COMMUNICATIONS	START
14:22:24.263994		TRACK	STATE	TARGET	X	0.5
14:22:24.263994		TRACK	STATE	TARGET	Y	0.5
14:22:24.264992		TRACK	STATE	TARGET	RADIUS	0.1
14:22:24.264992		TRACK	STATE		MODE	MANUAL
14:22:24.264992		MAIN	STATE	TRACK	START
14:22:24.264992		MAIN	SCENARIO	TRACK	AUTOMATICSOLVER	True
14:22:24.749322		MAIN	STATE	SYSMON	START
14:22:24.756801		MAIN	STATE	PUMPSTATUS	START
14:22:24.758786		RESMAN	STATE	TANK	TOLERANCE	500
14:22:24.758786		RESMAN	STATE	TANKA	TARGET	2500
14:22:24.760797		RESMAN	STATE	TANKB	TARGET	2500
14:22:24.772591		MAIN	STATE	RESMAN	START
14:22:24.781142		MAIN	STATE	SCHEDULING	START
14:22:24.782142		MAIN	STATE		PAUSE
14:22:24.813684		MAIN	STATE	PARTICIPANTINFO	START
14:22:32.321771		MAIN	INPUT	KEY_RELEASE	68
14:22:32.455182		MAIN	INPUT	KEY_RELEASE	69
14:22:32.982828		MAIN	INPUT	KEY_RELEASE	77
14:22:33.037834		MAIN	INPUT	KEY_RELEASE	79
14:22:34.056571		PARTICIPANTINFO	INPUT	PARTID	demo
14:22:34.056571		MAIN	STATE		RESUME
14:22:34.207358		TRACK	STATE	CURSOR	X	-0.005303196439486263
14:22:34.208357		TRACK	STATE	CURSOR	Y	0.10133753487643346
14:22:34.228044		TRACK	STATE	CURSOR	X	-0.005271406865783303
14:22:34.228044		TRACK	STATE	CURSOR	Y	0.09078605957267012
14:22:34.248585		TRACK	STATE	CURSOR	X	-0.005244827916426433
