#	date	

20:38:42.343139		MAIN	INFO	SCENARIO	FILENAME	scenario_settings5.txt
20:38:42.344295		MAIN	INFO	SCREENSIZE	WIDTH	1920
20:38:42.344295		MAIN	INFO	SCREENSIZE	HEIGHT	1080
20:38:42.378919		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 563]
20:38:42.379916		MAIN	INFO	COMMUNICATIONS	AOI_Y	[580, 1080]
20:38:42.381427		MAIN	INFO	PUMPSTATUS	AOI_X	[1576, 1919]
20:38:42.381427		MAIN	INFO	PUMPSTATUS	AOI_Y	[580, 1080]
20:38:42.381912		MAIN	INFO	RESMAN	AOI_X	[563, 1585]
20:38:42.381912		MAIN	INFO	RESMAN	AOI_Y	[580, 1080]
20:38:42.381912		MAIN	INFO	SCHEDULING	AOI_X	[1576, 1919]
20:38:42.385074		MAIN	INFO	SCHEDULING	AOI_Y	[40, 540]
20:38:42.385074		MAIN	INFO	SYSMON	AOI_X	[0, 668]
20:38:42.385074		MAIN	INFO	SYSMON	AOI_Y	[40, 540]
20:38:42.386407		MAIN	INFO	TRACK	AOI_X	[563, 1585]
20:38:42.386407		MAIN	INFO	TRACK	AOI_Y	[40, 540]
20:38:42.398769		MAIN	SCENARIO	COMMUNICATIONS	CALLSIGNREGEX	[A-Z][A-Z]\d\d
20:38:42.399265		MAIN	SCENARIO	COMMUNICATIONS	OTHERCALLSIGNNUMBER	5
20:38:42.399877		MAIN	SCENARIO	COMMUNICATIONS	VOICEGENDER	male
20:38:42.400258		MAIN	SCENARIO	COMMUNICATIONS	VOICEIDIOM	english
20:38:42.405667		COMMUN	STATE	OWNCALLSIGN		JN43
20:38:42.431460		COMMUN	STATE	OTHERCALLSIGN		['VR21', 'WO90', 'SX68', 'BU57', 'TH67']
20:38:42.433462		MAIN	STATE	COMMUNICATIONS	START
20:38:42.433462		MAIN	STATE		PAUSE
20:38:42.665790		MAIN	STATE	PARTICIPANTINFO	START
20:38:44.507869		MAIN	INPUT	KEY_RELEASE	68
20:38:44.527802		MAIN	INPUT	KEY_RELEASE	69
20:38:44.700157		MAIN	INPUT	KEY_RELEASE	77
20:38:44.810684		MAIN	INPUT	KEY_RELEASE	79
20:38:46.066517		PARTICIPANTINFO	INPUT	PARTID	demo
20:38:46.066517		MAIN	STATE		RESUME
20:38:46.067516		TRACK	STATE	TARGET	X	0.5
20:38:46.067516		TRACK	STATE	TARGET	Y	0.5
20:38:46.068512		TRACK	STATE	TARGET	RADIUS	0.1
20:38:46.068512		TRACK	STATE		MODE	MANUAL
20:38:46.068813		MAIN	STATE	TRACK	START
20:38:46.069122		MAIN	SCENARIO	TRACK	AUTOMATICSOLVER	True
20:38:46.301711		MAIN	STATE	SYSMON	START
20:38:46.306517		MAIN	STATE	PUMPSTATUS	START
20:38:46.308465		RESMAN	STATE	TANK	TOLERANCE	500
