#	date	

20:31:03.338782		MAIN	INFO	SCENARIO	FILENAME	scenario_settings3.txt
20:31:03.339774		MAIN	INFO	SCREENSIZE	WIDTH	1920
20:31:03.340588		MAIN	INFO	SCREENSIZE	HEIGHT	1080
20:31:03.376649		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 563]
20:31:03.377636		MAIN	INFO	COMMUNICATIONS	AOI_Y	[580, 1080]
20:31:03.378548		MAIN	INFO	PUMPSTATUS	AOI_X	[1576, 1919]
20:31:03.378548		MAIN	INFO	PUMPSTATUS	AOI_Y	[580, 1080]
20:31:03.378548		MAIN	INFO	RESMAN	AOI_X	[563, 1585]
20:31:03.378548		MAIN	INFO	RESMAN	AOI_Y	[580, 1080]
20:31:03.379548		MAIN	INFO	SCHEDULING	AOI_X	[1576, 1919]
20:31:03.391544		MAIN	INFO	SCHEDULING	AOI_Y	[40, 540]
20:31:03.391795		MAIN	INFO	SYSMON	AOI_X	[0, 668]
20:31:03.392834		MAIN	INFO	SYSMON	AOI_Y	[40, 540]
20:31:03.392834		MAIN	INFO	TRACK	AOI_X	[563, 1585]
20:31:03.392834		MAIN	INFO	TRACK	AOI_Y	[40, 540]
20:31:03.407388		MAIN	SCENARIO	COMMUNICATIONS	CALLSIGNREGEX	[A-Z][A-Z]\d\d
20:31:03.407675		MAIN	SCENARIO	COMMUNICATIONS	OTHERCALLSIGNNUMBER	5
20:31:03.408171		MAIN	SCENARIO	COMMUNICATIONS	VOICEGENDER	male
20:31:03.408668		MAIN	SCENARIO	COMMUNICATIONS	VOICEIDIOM	english
20:31:03.412338		COMMUN	STATE	OWNCALLSIGN		BX62
20:31:03.427593		COMMUN	STATE	OTHERCALLSIGN		['YO74', 'KU83', 'ZC50', 'TL91', 'WR51']
20:31:03.429585		MAIN	STATE	COMMUNICATIONS	START
20:31:03.429585		TRACK	STATE	TARGET	X	0.5
20:31:03.430583		TRACK	STATE	TARGET	Y	0.5
20:31:03.430799		TRACK	STATE	TARGET	RADIUS	0.1
20:31:03.430964		TRACK	STATE		MODE	MANUAL
20:31:03.430964		MAIN	STATE	TRACK	START
20:31:03.431438		MAIN	SCENARIO	TRACK	AUTOMATICSOLVER	True
20:31:03.692722		MAIN	STATE	SYSMON	START
20:31:03.696003		MAIN	STATE	PUMPSTATUS	START
20:31:03.697822		RESMAN	STATE	TANK	TOLERANCE	500
20:31:03.697822		RESMAN	STATE	TANKA	TARGET	2500
20:31:03.698822		RESMAN	STATE	TANKB	TARGET	2500
20:31:03.705015		MAIN	STATE	RESMAN	START
20:31:03.710610		MAIN	STATE	SCHEDULING	START
20:31:03.710610		MAIN	STATE		PAUSE
20:31:03.725975		MAIN	STATE	PARTICIPANTINFO	START
20:31:04.942189		MAIN	INPUT	KEY_RELEASE	68
20:31:04.968882		MAIN	INPUT	KEY_RELEASE	69
20:31:05.141173		MAIN	INPUT	KEY_RELEASE	77
20:31:05.185633		MAIN	INPUT	KEY_RELEASE	79
20:31:06.551916		PARTICIPANTINFO	INPUT	PARTID	demo
20:31:06.551916		MAIN	STATE		RESUME
20:31:06.641201		TRACK	STATE	CURSOR	X	-0.005393071988296666
20:31:06.641201		TRACK	STATE	CURSOR	Y	0.10249162257392996
20:31:06.661929		TRACK	STATE	CURSOR	X	-0.005349729744747196
20:31:06.661929		TRACK	STATE	CURSOR	Y	0.09198971664620623
20:31:06.681967		TRACK	STATE	CURSOR	X	-0.005313232104761358
20:31:06.681967		TRACK	STATE	CURSOR	Y	0.08149105001628357
20:31:06.702049		TRACK	STATE	CURSOR	X	-0.005279959180897649
20:31:06.702049		TRACK	STATE	CURSOR	Y	0.07094586935871551
20:31:06.722499		TRACK	STATE	CURSOR	X	-0.005253106823472242
20:31:06.722499		TRACK	STATE	CURSOR	Y	0.060406206243649695
20:31:06.742449		TRACK	STATE	CURSOR	X	-0.005230998028958665
20:31:06.742449		TRACK	STATE	CURSOR	Y	0.049846708497989806
20:31:06.762383		TRACK	STATE	CURSOR	X	-0.005213656800462087
20:31:06.762383		TRACK	STATE	CURSOR	Y	0.03926748769337659
20:31:06.782121		TRACK	STATE	CURSOR	X	-0.005201106189126818
20:31:06.783122		TRACK	STATE	CURSOR	Y	0.028668658530658295
20:31:06.802249		TRACK	STATE	CURSOR	X	-0.005193368287558888
20:31:06.803239		TRACK	STATE	CURSOR	Y	0.018050338820228197
20:31:06.823427		TRACK	STATE	CURSOR	X	-0.005190464223397566
20:31:06.823427		TRACK	STATE	CURSOR	Y	0.017412649461899292
20:31:06.842660		TRACK	STATE	CURSOR	X	-0.005192414153036173
20:31:06.843656		TRACK	STATE	CURSOR	Y	0.016755714424323366
20:31:06.863237		TRACK	STATE	CURSOR	X	-0.005199706661990665
20:31:06.863237		TRACK	STATE	CURSOR	Y	0.01604535849384519
20:31:06.883775		TRACK	STATE	CURSOR	X	-0.005211666161270112
20:31:06.883775		TRACK	STATE	CURSOR	Y	0.015349370210067236
20:31:06.903794		TRACK	STATE	CURSOR	X	-0.005228535069773453
20:31:06.903794		TRACK	STATE	CURSOR	Y	0.014634533084254699
20:31:06.924792		TRACK	STATE	CURSOR	X	-0.005251548845688893
20:31:06.924792		TRACK	STATE	CURSOR	Y	0.013863817080337772
20:31:06.944475		TRACK	STATE	CURSOR	X	-0.005278531473801529
20:31:06.945465		TRACK	STATE	CURSOR	Y	0.013110768790137749
20:31:06.965592		TRACK	STATE	CURSOR	X	-0.0053121969030396066
20:31:06.965592		TRACK	STATE	CURSOR	Y	0.012300241547062628
20:31:06.985467		TRACK	STATE	CURSOR	X	-0.0053493525198345755
20:31:06.986468		TRACK	STATE	CURSOR	Y	0.011509579731096821
20:31:07.006196		TRACK	STATE	CURSOR	X	-0.005393727260005717
20:31:07.006196		TRACK	STATE	CURSOR	Y	0.01065988192819086
20:31:07.026749		TRACK	STATE	CURSOR	X	-0.005441106398404495
20:31:07.026749		TRACK	STATE	CURSOR	Y	0.009832229183561185
20:31:07.045992		TRACK	STATE	CURSOR	X	-0.005493488306231299
20:31:07.046989		TRACK	STATE	CURSOR	Y	0.0089867654080431
20:31:07.066623		TRACK	STATE	CURSOR	X	-0.0055508818788572905
20:31:07.067639		TRACK	STATE	CURSOR	Y	0.008123647401311877
20:31:07.086960		TRACK	STATE	CURSOR	X	-0.005616547520363215
20:31:07.087957		TRACK	STATE	CURSOR	Y	0.007198547778181234
20:31:07.108107		TRACK	STATE	CURSOR	X	-0.005684238440220035
20:31:07.108107		TRACK	STATE	CURSOR	Y	0.006299740505506059
20:31:07.128287		TRACK	STATE	CURSOR	X	-0.005760730096416672
20:31:07.128287		TRACK	STATE	CURSOR	Y	0.00533752858195722
20:31:07.148898		TRACK	STATE	CURSOR	X	-0.0058387424151356655
20:31:07.148898		TRACK	STATE	CURSOR	Y	0.004403726277700727
20:31:07.168711		TRACK	STATE	CURSOR	X	-0.0059260806009251805
20:31:07.169708		TRACK	STATE	CURSOR	Y	0.0034051432126310996
20:31:07.189342		TRACK	STATE	CURSOR	X	-0.006014429326595359
20:31:07.190341		TRACK	STATE	CURSOR	Y	0.0024370632530989686
20:31:07.209610		TRACK	STATE	CURSOR	X	-0.0061078229100907655
20:31:07.210623		TRACK	STATE	CURSOR	Y	0.0014525296419906839
20:31:07.230580		TRACK	STATE	CURSOR	X	-0.006211316061949616
20:31:07.231528		TRACK	STATE	CURSOR	Y	0.00040125665741946176
20:31:07.251670		TRACK	STATE	CURSOR	X	-0.0063203706713094625
20:31:07.251670		TRACK	STATE	CURSOR	Y	-0.0006677495718188167
20:31:07.271137		TRACK	STATE	CURSOR	X	-0.0064294007535099324
20:31:07.272135		TRACK	STATE	CURSOR	Y	-0.001702142625843582
20:31:07.292112		TRACK	STATE	CURSOR	X	-0.0065493060162659196
20:31:07.292112		TRACK	STATE	CURSOR	Y	-0.002805154384681409
20:31:07.312645		TRACK	STATE	CURSOR	X	-0.006668662671481483
20:31:07.312645		TRACK	STATE	CURSOR	Y	-0.0038715391164294913
20:31:07.333662		TRACK	STATE	CURSOR	X	-0.006799400634027665
20:31:07.333662		TRACK	STATE	CURSOR	Y	-0.005007722288654169
20:31:07.354506		TRACK	STATE	CURSOR	X	-0.006935676941856252
20:31:07.354506		TRACK	STATE	CURSOR	Y	-0.006160565559073038
20:31:07.374496		TRACK	STATE	CURSOR	X	-0.007070605095882328
20:31:07.375567		TRACK	STATE	CURSOR	Y	-0.007273792440986131
20:31:07.395321		TRACK	STATE	CURSOR	X	-0.007217668436929096
20:31:07.395321		TRACK	STATE	CURSOR	Y	-0.008458504454875927
20:31:07.415416		TRACK	STATE	CURSOR	X	-0.007362850896994168
20:31:07.416457		TRACK	STATE	CURSOR	Y	-0.00960166218784795
20:31:07.436377		TRACK	STATE	CURSOR	X	-0.00752065877484559
20:31:07.436377		TRACK	STATE	CURSOR	Y	-0.010817355035594688
20:31:07.456080		TRACK	STATE	CURSOR	X	-0.007676050393281925
20:31:07.457077		TRACK	STATE	CURSOR	Y	-0.011989588219219187
20:31:07.476700		TRACK	STATE	CURSOR	X	-0.007836402887983901
20:31:07.476700		TRACK	STATE	CURSOR	Y	-0.013175688369863804
20:31:07.496675		TRACK	STATE	CURSOR	X	-0.00800170219861466
20:31:07.497365		TRACK	STATE	CURSOR	Y	-0.014375445219060153
20:31:07.517341		TRACK	STATE	CURSOR	X	-0.008180573893674298
20:31:07.517341		TRACK	STATE	CURSOR	Y	-0.015649655496223457
20:31:07.537273		TRACK	STATE	CURSOR	X	-0.008355965621704495
20:31:07.538247		TRACK	STATE	CURSOR	Y	-0.016876742259374973
20:31:07.557434		TRACK	STATE	CURSOR	X	-0.008536254549812883
20:31:07.558503		TRACK	STATE	CURSOR	Y	-0.01811683136975948
20:31:07.577977		TRACK	STATE	CURSOR	X	-0.008730808304650303
20:31:07.579005		TRACK	STATE	CURSOR	Y	-0.019432679388821365
20:31:07.598966		TRACK	STATE	CURSOR	X	-0.008921077538227379
