#	date	

22:59:56.542786		MAIN	INFO	SCENARIO	FILENAME	complete_track.txt
22:59:56.542919		MAIN	INFO	SCREENSIZE	WIDTH	1920
22:59:56.542972		MAIN	INFO	SCREENSIZE	HEIGHT	1080
22:59:56.546344		MAIN	INFO	COMMUNICATIONS	AOI_X	[0, 563]
22:59:56.546412		MAIN	INFO	COMMUNICATIONS	AOI_Y	[580, 1080]
22:59:56.546699		MAIN	INFO	SYSMON	AOI_X	[0, 668]
22:59:56.546756		MAIN	INFO	SYSMON	AOI_Y	[40, 540]
22:59:56.546910		MAIN	INFO	TRACK	AOI_X	[563, 1585]
22:59:56.546966		MAIN	INFO	TRACK	AOI_Y	[40, 540]
22:59:56.547082		MAIN	INFO	RESMAN	AOI_X	[563, 1585]
22:59:56.547135		MAIN	INFO	RESMAN	AOI_Y	[580, 1080]
22:59:56.547241		MAIN	INFO	PUMPSTATUS	AOI_X	[1576, 1919]
22:59:56.547289		MAIN	INFO	PUMPSTATUS	AOI_Y	[580, 1080]
22:59:56.547393		MAIN	INFO	SCHEDULING	AOI_X	[1576, 1919]
22:59:56.547443		MAIN	INFO	SCHEDULING	AOI_Y	[40, 540]
22:59:56.568172		MAIN	SCENARIO	TRACK	CURSORCOLOR	#009900
22:59:56.568567		TRACK	STATE	TARGET	X	0.5
22:59:56.568631		TRACK	STATE	TARGET	Y	0.5
22:59:56.568671		TRACK	STATE	TARGET	RADIUS	0.1
22:59:56.568708		TRACK	STATE		MODE	MANUAL
22:59:56.568740		MAIN	STATE	TRACK	START
22:59:56.568813		MAIN	SCENARIO	TRACK	AUTOMATICSOLVER	True
22:59:56.610146		TRACK	STATE	CURSOR	X	-0.005471493663948233
22:59:56.610281		TRACK	STATE	CURSOR	Y	0.10323516252851762
22:59:56.630057		TRACK	STATE	CURSOR	X	-0.0054224660187912055
22:59:56.630183		TRACK	STATE	CURSOR	Y	0.09279114028693812
22:59:56.650342		TRACK	STATE	CURSOR	X	-0.005375956291845174
22:59:56.650460		TRACK	STATE	CURSOR	Y	0.08230304786550513
22:59:56.670520		TRACK	STATE	CURSOR	X	-0.005336423584104799
22:59:56.670653		TRACK	STATE	CURSOR	Y	0.07181747085341751
22:59:56.690789		TRACK	STATE	CURSOR	X	-0.005301564928950499
22:59:56.690895		TRACK	STATE	CURSOR	Y	0.06131177374640986
22:59:56.711045		TRACK	STATE	CURSOR	X	-0.005271406865783303
22:59:56.711165		TRACK	STATE	CURSOR	Y	0.05078605957267013
22:59:56.731332		TRACK	STATE	CURSOR	X	-0.005244827916426433
22:59:56.731465		TRACK	STATE	CURSOR	Y	0.04021263257711514
22:59:56.751687		TRACK	STATE	CURSOR	X	-0.005224385088253514
22:59:56.751798		TRACK	STATE	CURSOR	Y	0.029646218908961006
22:59:56.771910		TRACK	STATE	CURSOR	X	-0.005208718002623551
22:59:56.772028		TRACK	STATE	CURSOR	Y	0.01906012197219984
22:59:56.792063		TRACK	STATE	CURSOR	X	-0.005197849375932835
22:59:56.792168		TRACK	STATE	CURSOR	Y	0.018454457558281227
22:59:56.812322		TRACK	STATE	CURSOR	X	-0.0051916254508250674
22:59:56.812463		TRACK	STATE	CURSOR	Y	0.01779758056091795
22:59:56.832630		TRACK	STATE	CURSOR	X	-0.005190660620013933
22:59:56.832747		TRACK	STATE	CURSOR	Y	0.017152177883498966
22:59:56.852813		TRACK	STATE	CURSOR	X	-0.005194557572232851
22:59:56.852974		TRACK	STATE	CURSOR	Y	0.016487579968871714
22:59:56.873030		TRACK	STATE	CURSOR	X	-0.005203335093867047
22:59:56.873128		TRACK	STATE	CURSOR	Y	0.015803915046622256
